code,name,year,indicator,value
600519,贵州茅台,2019,ROE,9.05
600519,贵州茅台,2019,净利润率,7.4535
600519,贵州茅台,2019,营业收入增速,23.9196
600519,贵州茅台,2019,资产负债率,19.1172
600519,贵州茅台,2020,ROE,8.78
600519,贵州茅台,2020,净利润率,7.603
600519,贵州茅台,2020,营业收入增速,12.7582
600519,贵州茅台,2020,资产负债率,14.2546
600519,贵州茅台,2021,ROE,7.96
600519,贵州茅台,2021,净利润率,6.8929
600519,贵州茅台,2021,营业收入增速,11.7412
600519,贵州茅台,2021,资产负债率,15.2071
600519,贵州茅台,2022,ROE,8.34
600519,贵州茅台,2022,净利润率,7.0891
600519,贵州茅台,2022,营业收入增速,18.4258
600519,贵州茅台,2022,资产负债率,14.482
600519,贵州茅台,2023,ROE,9.53
600519,贵州茅台,2023,净利润率,8.3957
600519,贵州茅台,2023,营业收入增速,20.0028
600519,贵州茅台,2023,资产负债率,12.3562
600519,贵州茅台,2024,ROE,10.04
600519,贵州茅台,2024,净利润率,8.9148
600519,贵州茅台,2024,营业收入增速,18.1127
600519,贵州茅台,2024,资产负债率,12.9543
