code,name,year,indicator,value
000568,泸州老窖,2019,净利润率,6.6811
000568,泸州老窖,2019,营业收入增速,23.7172
000568,泸州老窖,2019,资产负债率,21.6094
000568,泸州老窖,2020,ROE,8.1
000568,泸州老窖,2020,净利润率,5.8842
000568,泸州老窖,2020,营业收入增速,-14.7931
000568,泸州老窖,2020,资产负债率,28.6114
000568,泸州老窖,2021,ROE,8.59
000568,泸州老窖,2021,净利润率,6.0453
000568,泸州老窖,2021,营业收入增速,40.8508
000568,泸州老窖,2021,资产负债率,31.6692
000568,泸州老窖,2022,ROE,9.29
000568,泸州老窖,2022,净利润率,6.7023
000568,泸州老窖,2022,营业收入增速,26.1464
000568,泸州老窖,2022,资产负债率,27.8394
000568,泸州老窖,2023,ROE,9.79
000568,泸州老窖,2023,净利润率,6.7839
000568,泸州老窖,2023,营业收入增速,20.5671
000568,泸州老窖,2023,资产负债率,34.7878
000568,泸州老窖,2024,ROE,9.89
000568,泸州老窖,2024,净利润率,6.9411
000568,泸州老窖,2024,营业收入增速,20.7387
000568,泸州老窖,2024,资产负债率,32.4289
002179,中航光电,2019,ROE,3.68
002179,中航光电,2019,净利润率,1.8341
002179,中航光电,2019,营业收入增速,45.9543
002179,中航光电,2019,资产负债率,49.7295
002179,中航光电,2020,ROE,1.95
002179,中航光电,2020,净利润率,1.0743
002179,中航光电,2020,营业收入增速,-16.5211
002179,中航光电,2020,资产负债率,42.2089
002179,中航光电,2021,ROE,5.97
002179,中航光电,2021,净利润率,3.3511
002179,中航光电,2021,营业收入增速,88.1393
002179,中航光电,2021,资产负债率,43.9106
002179,中航光电,2022,ROE,4.63
002179,中航光电,2022,净利润率,2.8743
002179,中航光电,2022,营业收入增速,17.1331
002179,中航光电,2022,资产负债率,39.1175
002179,中航光电,2023,ROE,5.29
002179,中航光电,2023,净利润率,3.2296
002179,中航光电,2023,营业收入增速,34.6784
002179,中航光电,2023,资产负债率,39.2514
002179,中航光电,2024,ROE,3.49
002179,中航光电,2024,净利润率,2.2312
002179,中航光电,2024,营业收入增速,-24.8717
002179,中航光电,2024,资产负债率,35.1554
300510,金冠股份,2019,ROE,-0.02
300510,金冠股份,2019,净利润率,-0.0143
300510,金冠股份,2019,营业收入增速,-8.5448
300510,金冠股份,2019,资产负债率,20.4113
300510,金冠股份,2020,ROE,-0.5
300510,金冠股份,2020,净利润率,-0.3949
300510,金冠股份,2020,营业收入增速,-2.838
300510,金冠股份,2020,资产负债率,22.9477
300510,金冠股份,2021,ROE,0.07
300510,金冠股份,2021,净利润率,0.0358
300510,金冠股份,2021,营业收入增速,3.3822
300510,金冠股份,2021,资产负债率,16.2249
