code,name,year,indicator,value
603319,美湖股份,2019,ROE,4.48
603319,美湖股份,2019,净利润率,2.3451
603319,美湖股份,2019,营业收入增速,16.6377
603319,美湖股份,2019,资产负债率,49.2986
603319,美湖股份,2020,ROE,4.23
603319,美湖股份,2020,净利润率,1.8834
603319,美湖股份,2020,营业收入增速,-6.8548
603319,美湖股份,2020,资产负债率,56.2222
603319,美湖股份,2021,ROE,3.39
603319,美湖股份,2021,净利润率,1.7529
603319,美湖股份,2021,营业收入增速,80.9572
603319,美湖股份,2021,资产负债率,45.9894
603319,美湖股份,2022,ROE,2.12
603319,美湖股份,2022,净利润率,1.1967
603319,美湖股份,2022,营业收入增速,-7.0869
603319,美湖股份,2022,资产负债率,44.2983
603319,美湖股份,2023,ROE,2.25
603319,美湖股份,2023,净利润率,1.3154
603319,美湖股份,2023,营业收入增速,1.8386
603319,美湖股份,2023,资产负债率,42.6465
603319,美湖股份,2024,ROE,2.55
603319,美湖股份,2024,净利润率,1.4945
603319,美湖股份,2024,营业收入增速,14.5895
603319,美湖股份,2024,资产负债率,40.6264
