date,open,close,high,low,volume,amount,code,name
2020-01-02,24.31,24.41,24.53,24.16,6779,12215474.0,603319,美湖股份
2020-01-03,24.41,24.49,24.5,24.31,5851,10541515.0,603319,美湖股份
2020-01-06,24.37,24.54,24.68,24.36,6906,12496668.0,603319,美湖股份
2020-01-07,24.57,24.84,24.89,24.44,7642,13994132.0,603319,美湖股份
2020-01-08,24.83,24.59,25.1,24.53,8843,16126553.0,603319,美湖股份
2020-01-09,24.84,24.8,24.98,24.58,6026,11031737.0,603319,美湖股份
2020-01-10,24.84,24.66,24.86,24.54,5124,9356564.0,603319,美湖股份
2020-01-13,24.75,24.73,24.86,24.57,6401,11693195.0,603319,美湖股份
2020-01-14,24.68,24.7,24.9,24.64,3546,6486869.0,603319,美湖股份
2020-01-15,24.83,24.42,24.83,24.4,6900,12490925.0,603319,美湖股份
2020-01-16,24.41,24.5,24.66,24.27,4386,7933630.0,603319,美湖股份
2020-01-17,24.38,24.57,24.89,24.38,5565,10110822.0,603319,美湖股份
2020-01-20,24.67,25.14,25.61,24.63,12080,22456160.0,603319,美湖股份
2020-01-21,25.33,24.93,25.53,24.83,6665,12324690.0,603319,美湖股份
2020-01-22,24.63,25.02,25.2,24.63,7018,12918612.0,603319,美湖股份
2020-01-23,25.02,24.97,25.93,24.73,17396,32669605.0,603319,美湖股份
2020-02-03,22.56,22.56,22.56,22.56,2929,4865069.0,603319,美湖股份
2020-02-04,20.41,21.77,21.9,20.41,20816,32255570.0,603319,美湖股份
2020-02-05,21.85,22.28,22.42,21.33,9893,16008347.0,603319,美湖股份
2020-02-06,22.2,22.43,22.68,21.78,8616,14127105.0,603319,美湖股份
2020-02-07,22.43,22.56,22.63,22.11,7351,12104263.0,603319,美湖股份
2020-02-10,22.6,22.67,22.73,22.3,6342,10538295.0,603319,美湖股份
2020-02-11,22.75,24.08,24.38,22.75,17992,31390247.0,603319,美湖股份
2020-02-12,26.32,26.4,26.4,25.64,74814,146065353.0,603319,美湖股份
2020-02-13,26.15,25.15,26.58,25.02,67085,127644233.0,603319,美湖股份
2020-02-14,24.76,26.27,26.32,24.33,51567,95788868.0,603319,美湖股份
2020-02-17,26.01,26.44,27.35,25.94,42565,83954032.0,603319,美湖股份
2020-02-18,26.13,26.07,26.57,25.72,29537,56993853.0,603319,美湖股份
2020-02-19,26.0,25.75,26.71,25.4,25293,48673653.0,603319,美湖股份
2020-02-20,25.57,26.65,26.96,25.23,48178,93636189.0,603319,美湖股份
2020-02-21,26.65,26.49,26.65,25.83,28580,55692043.0,603319,美湖股份
2020-02-24,25.88,27.36,27.46,25.88,44053,86792123.0,603319,美湖股份
2020-02-25,26.45,26.71,26.97,26.02,29481,58039480.0,603319,美湖股份
2020-02-26,26.33,25.49,26.61,25.42,21378,41320940.0,603319,美湖股份
2020-02-27,25.74,26.53,26.67,25.12,25791,49782559.0,603319,美湖股份
2020-02-28,26.02,25.42,26.27,25.28,17556,33457263.0,603319,美湖股份
2020-03-02,25.41,26.26,26.46,25.4,19135,36990184.0,603319,美湖股份
2020-03-03,26.68,28.22,28.27,26.29,46033,93145838.0,603319,美湖股份
2020-03-04,27.88,28.26,28.48,27.39,33072,68561210.0,603319,美湖股份
2020-03-05,28.53,28.18,29.05,27.91,22409,46986115.0,603319,美湖股份
2020-03-06,27.83,27.78,28.08,27.48,14200,29300134.0,603319,美湖股份
2020-03-09,27.89,26.67,27.89,26.54,20559,41071281.0,603319,美湖股份
2020-03-10,25.96,26.98,27.61,25.68,16895,33418251.0,603319,美湖股份
2020-03-11,27.1,26.71,27.69,26.71,13361,26861427.0,603319,美湖股份
2020-03-12,26.33,26.06,26.81,25.87,11809,22937455.0,603319,美湖股份
2020-03-13,25.12,26.26,26.31,24.57,18359,34495655.0,603319,美湖股份
