date,open,close,high,low,volume,amount,code,name
2020-01-02,298.4,295.39,303.62,294.92,1002915,1646850288.0,600048,保利发展
2020-01-03,297.29,290.49,297.29,287.33,1074824,1713539328.0,600048,保利发展
2020-01-06,288.12,286.22,288.28,284.16,1263365,1978819744.0,600048,保利发展
2020-01-07,286.85,287.96,288.43,284.64,855225,1341480544.0,600048,保利发展
2020-01-08,284.95,283.69,285.43,281.95,882805,1370722672.0,600048,保利发展
2020-01-09,294.13,295.71,297.61,290.65,1946177,3150781872.0,600048,保利发展
2020-01-10,296.03,291.6,296.66,289.7,956771,1538891920.0,600048,保利发展
2020-01-13,292.71,298.87,299.51,292.39,901699,1471326848.0,600048,保利发展
2020-01-14,299.19,296.82,300.62,295.55,598866,980331760.0,600048,保利发展
2020-01-15,296.82,293.34,298.08,292.23,549853,889417408.0,600048,保利发展
2020-01-16,293.81,291.76,295.71,291.12,623516,1002815216.0,600048,保利发展
2020-01-17,292.86,293.18,294.92,291.12,470332,756916800.0,600048,保利发展
2020-01-20,293.18,290.97,293.97,288.12,584888,931786544.0,600048,保利发展
2020-01-21,288.43,282.58,289.38,282.27,910108,1416707760.0,600048,保利发展
2020-01-22,282.42,289.23,289.86,279.89,962109,1510291456.0,600048,保利发展
2020-01-23,285.11,280.68,287.33,279.1,821771,1269876624.0,600048,保利发展
2020-02-03,258.06,259.33,263.44,256.48,1820510,2551879296.0,600048,保利发展
2020-02-04,261.23,264.55,265.66,257.43,1119868,1580250912.0,600048,保利发展
2020-02-05,262.81,267.24,269.45,260.91,1169010,1680553424.0,600048,保利发展
2020-02-06,268.98,268.35,270.4,264.39,1039266,1502684320.0,600048,保利发展
2020-02-07,265.5,265.97,267.55,262.81,688732,986294736.0,600048,保利发展
2020-02-10,262.65,272.77,275.46,261.7,1112296,1628239104.0,600048,保利发展
2020-02-11,270.88,274.99,279.42,270.72,849948,1279273440.0,600048,保利发展
2020-02-12,272.77,274.04,276.73,271.51,648116,965030928.0,600048,保利发展
2020-02-13,277.36,281.63,284.64,277.2,1099935,1697335232.0,600048,保利发展
2020-02-14,282.58,289.7,290.49,281.63,953060,1501176464.0,600048,保利发展
2020-02-17,291.76,287.17,292.86,284.01,987224,1550241008.0,600048,保利发展
2020-02-18,284.32,283.37,286.85,281.95,758721,1175808592.0,600048,保利发展
2020-02-19,282.74,283.06,285.59,280.53,580113,900330208.0,600048,保利发展
2020-02-20,281.95,285.59,285.9,281.79,829784,1288806128.0,600048,保利发展
2020-02-21,284.95,280.68,285.59,278.63,844023,1296802112.0,600048,保利发展
2020-02-24,279.89,276.89,280.37,273.09,842405,1266271856.0,600048,保利发展
2020-02-25,276.25,279.58,283.85,275.94,957682,1463990944.0,600048,保利发展
2020-02-26,277.05,291.12,298.56,275.94,2141587,3422389040.0,600048,保利发展
2020-02-27,291.91,288.59,293.65,286.85,990615,1578365888.0,600048,保利发展
2020-02-28,286.54,294.29,298.72,285.27,1609630,2605740688.0,600048,保利发展
2020-03-02,297.77,302.2,307.26,297.61,1793905,3013621424.0,600048,保利发展
2020-03-03,303.78,300.93,305.52,295.08,1471337,2421028576.0,600048,保利发展
2020-03-04,303.15,304.1,312.64,297.77,1609721,2729215008.0,600048,保利发展
2020-03-05,302.36,307.73,309.79,299.19,1148836,1935314064.0,600048,保利发展
2020-03-06,304.1,299.03,305.52,297.61,875206,1448290704.0,600048,保利发展
2020-03-09,294.29,293.97,297.29,288.75,847580,1366300944.0,600048,保利发展
2020-03-10,295.87,297.45,300.77,290.49,711188,1160198080.0,600048,保利发展
2020-03-11,298.4,295.24,301.72,294.13,746382,1225472016.0,600048,保利发展
2020-03-12,293.02,297.45,299.82,290.17,709346,1153011472.0,600048,保利发展
2020-03-13,285.43,293.02,295.24,281.79,917554,1449691568.0,600048,保利发展
2020-03-16,292.23,280.05,292.39,278.94,1006589,1566768464.0,600048,保利发展
2020-03-17,279.42,276.89,284.64,273.57,875327,1318711216.0,600048,保利发展
2020-03-18,276.41,266.29,278.79,265.97,918667,1361646192.0,600048,保利发展
2020-03-19,263.13,259.65,267.55,250.15,1040890,1448798704.0,600048,保利发展
2020-03-20,262.49,267.4,269.14,258.06,643167,922502944.0,600048,保利发展
2020-03-23,259.33,260.91,263.6,256.48,523403,733869872.0,600048,保利发展
2020-03-24,264.55,267.87,270.09,262.81,547285,789650912.0,600048,保利发展
2020-03-25,271.83,278.15,279.89,268.19,916587,1366868272.0,600048,保利发展
2020-03-26,273.09,277.36,279.73,272.62,608704,916496432.0,600048,保利发展
2020-03-27,280.68,279.42,283.37,277.05,709914,1086520704.0,600048,保利发展
2020-03-30,276.89,278.63,282.9,274.99,788986,1202817776.0,600048,保利发展
2020-03-31,280.21,273.41,281.0,270.72,695372,1041319600.0,600048,保利发展
2020-04-01,273.88,274.99,280.68,272.14,583736,879374640.0,600048,保利发展
2020-04-02,273.88,276.89,276.89,272.62,394513,589874592.0,600048,保利发展
2020-04-03,274.83,275.94,277.99,274.2,333922,501465200.0,600048,保利发展
2020-04-07,280.21,277.99,280.53,276.1,642316,973970128.0,600048,保利发展
2020-04-08,276.89,278.15,279.26,274.99,418136,632473376.0,600048,保利发展
2020-04-09,278.31,274.51,278.31,272.93,386593,578156304.0,600048,保利发展
2020-04-10,273.88,270.56,278.15,268.82,665538,986141312.0,600048,保利发展
2020-04-13,270.56,276.57,277.84,269.29,479215,716821472.0,600048,保利发展
2020-04-14,278.63,284.8,288.59,277.36,824339,1282709648.0,600048,保利发展
2020-04-15,283.37,280.21,285.11,278.79,442485,679066592.0,600048,保利发展
2020-04-16,284.95,287.49,290.17,282.74,838854,1320022688.0,600048,保利发展
2020-04-17,289.38,288.43,289.54,286.06,511058,806717952.0,600048,保利发展
2020-04-20,288.43,289.38,290.02,280.68,669331,1049082048.0,600048,保利发展
2020-04-21,289.7,290.17,293.97,286.69,721011,1148517232.0,600048,保利发展
2020-04-22,288.91,290.49,290.49,284.95,459005,723356368.0,600048,保利发展
2020-04-23,290.49,289.54,291.91,286.22,500669,793240688.0,600048,保利发展
2020-04-24,289.07,288.75,289.7,286.85,342608,541462832.0,600048,保利发展
2020-04-27,288.75,289.86,295.08,288.43,435573,698751328.0,600048,保利发展
2020-04-28,290.81,293.65,296.82,290.17,517666,836452624.0,600048,保利发展
2020-04-29,292.86,299.35,301.72,292.86,507074,832910560.0,600048,保利发展
