date,open,close,high,low,volume,amount,amount
2020-01-02,8480.27,8495.3,8608.52,8390.05,14809916.0,16696837095.0,1256197800.0
2020-01-03,8397.57,8108.58,8397.57,8096.1,13031878.0,14266380596.0,1256197800.0
2020-01-06,8050.69,8104.29,8216.39,8023.93,6341478.0,6853917601.0,1256197800.0
2020-01-07,8100.61,8228.64,8262.25,8092.34,4785359.0,5220697068.0,1256197800.0
2020-01-08,8157.37,8180.6,8235.93,8138.8,2500825.0,2720371915.0,1256197800.0
2020-01-09,8224.66,8290.06,8310.29,8194.58,3740587.0,4110949814.0,1256197800.0
2020-01-10,8337.42,8363.74,8389.98,8288.56,3597587.0,3993457118.0,1256197800.0
2020-01-13,8363.74,8452.22,8489.29,8359.98,3851575.0,4325687959.0,1256197800.0
2020-01-14,8451.7,8325.4,8456.89,8292.32,3514465.0,3916300790.0,1256197800.0
2020-01-15,8337.5,8360.96,8432.15,8307.35,2602911.0,2895603674.0,1256197800.0
2020-01-16,8411.63,8322.39,8411.63,8289.16,2319165.0,2571593141.0,1256197800.0
2020-01-17,8344.94,8326.15,8365.84,8277.36,2347275.0,2599645144.0,1256197800.0
2020-01-20,8358.93,8202.1,8358.93,8134.44,3539130.0,3858246844.0,1256197800.0
2020-01-21,8126.92,8084.07,8172.03,8061.52,3287405.0,3542441308.0,1256197800.0
2020-01-22,8044.22,8085.65,8149.48,7934.31,3620004.0,3875275065.0,1256197800.0
2020-01-23,8089.33,7914.92,8089.33,7796.13,5346843.0,5638945742.0,1256197800.0
2020-02-03,7405.2,7547.44,7598.26,7367.61,12344288.0,12314991759.0,1256197800.0
2020-02-04,7630.74,7803.72,7946.49,7600.74,6262418.0,6490469043.0,1256197800.0
2020-02-05,7893.86,7893.79,7923.94,7766.29,4741824.0,4956355235.0,1256197800.0
2020-02-06,7964.76,8051.74,8081.81,7909.05,4717121.0,5011246407.0,1256197800.0
2020-02-07,8044.3,8089.33,8096.85,7976.71,3127871.0,3348894576.0,1256197800.0
2020-02-10,7984.08,8017.84,8078.81,7947.99,3053342.0,3251908506.0,1256197800.0
2020-02-11,7991.6,8254.73,8267.36,7990.09,4791793.0,5222918915.0,1256197800.0
2020-02-12,8187.07,8249.24,8260.67,8163.61,2812543.0,3072293973.0,1256197800.0
2020-02-13,8254.73,8202.1,8374.19,8179.62,3035736.0,3335277425.0,1256197800.0
2020-02-14,8197.97,8179.55,8220.97,8142.78,2328760.0,2534568401.0,1256197800.0
2020-02-17,8138.2,8223.3,8241.12,8137.45,2702822.0,2946182657.0,1256197800.0
2020-02-18,8194.66,8149.48,8246.31,8141.96,2666496.0,2897729692.0,1256197800.0
2020-02-19,8156.99,8243.45,8281.04,8104.37,3705147.0,4052365602.0,1256197800.0
2020-02-20,8244.95,8405.09,8450.19,8235.26,4680262.0,5220660940.0,1256197800.0
2020-02-21,8355.92,8366.59,8446.74,8345.02,2894008.0,3225337160.0,1256197800.0
2020-02-24,8311.11,8173.38,8344.94,8160.75,3865036.0,4221857466.0,1256197800.0
2020-02-25,8104.37,8080.39,8135.12,8028.29,3838562.0,4127432130.0,1256197800.0
2020-02-26,7984.08,8072.04,8149.48,7931.45,4356097.0,4663278433.0,1256197800.0
2020-02-27,8089.33,8174.96,8232.1,8089.33,3449829.0,3758783810.0,1256197800.0
2020-02-28,8046.48,7946.49,8134.44,7893.64,4994657.0,5307929213.0,1256197800.0
2020-03-02,7894.69,8164.59,8243.83,7893.94,4766304.0,5154329159.0,1256197800.0
2020-03-03,8254.73,8367.5,8411.7,8254.73,5025015.0,5585227657.0,1256197800.0
2020-03-04,8457.71,8487.18,8562.96,8391.86,5379299.0,6080149243.0,1256197800.0
2020-03-05,8542.74,8803.54,8833.54,8499.51,6242645.0,7210485104.0,1256197800.0
2020-03-06,8743.4,8687.01,8841.13,8660.55,3064100.0,3553622358.0,1256197800.0
2020-03-09,8532.89,8375.09,8532.89,8354.79,4340409.0,4865288500.0,1256197800.0
2020-03-10,8367.5,8690.77,8780.98,8367.5,5806293.0,6635936156.0,1256197800.0
2020-03-11,8687.01,8709.71,8792.86,8578.0,3554757.0,4124607952.0,1256197800.0
2020-03-12,8579.65,8559.2,8668.22,8458.46,3663063.0,4172606105.0,1256197800.0
2020-03-13,8194.58,8360.2,8487.63,8119.4,7588531.0,8348496480.0,1256197800.0
2020-03-16,8299.68,8021.67,8329.53,7984.08,5123254.0,5548946745.0,1256197800.0
2020-03-17,7931.45,7857.03,8104.37,7601.57,7935912.0,8277472787.0,1256197800.0
2020-03-18,7818.69,7578.04,7969.04,7578.04,7345988.0,7582762547.0,1256197800.0
2020-03-19,7472.78,7487.89,7630.74,7218.0,10226507.0,10075880470.0,1256197800.0
2020-03-20,7600.66,7783.2,7841.24,7600.66,6013919.0,6169094444.0,1256197800.0
2020-03-23,7517.97,7660.81,7783.2,7454.21,4847210.0,4918121944.0,1256197800.0
2020-03-24,7841.24,7938.97,7960.62,7781.1,4665096.0,4900364144.0,1256197800.0
2020-03-25,8179.4,8120.16,8204.81,8075.8,3704866.0,4015061222.0,1256197800.0
2020-03-26,8069.26,8006.03,8203.61,7984.08,3004856.0,3231754298.0,1256197800.0
2020-03-27,8156.99,8085.57,8209.62,8081.89,3626112.0,3931759353.0,1256197800.0
2020-03-30,7970.92,8059.26,8096.85,7946.49,3068741.0,3279823025.0,1256197800.0
2020-03-31,8134.44,8352.46,8382.53,8132.94,4798437.0,5293170703.0,1256197800.0
2020-04-01,8397.57,8292.32,8487.78,8292.32,3320535.0,3700184247.0,1256197800.0
2020-04-02,8299.84,8608.07,8608.07,8298.93,4520561.0,5095167594.0,1256197800.0
2020-04-03,8563.19,8568.9,8630.32,8510.19,2761761.0,3148421866.0,1256197800.0
2020-04-07,8735.5,8720.47,8769.71,8637.32,4348800.0,5041525481.0,1256197800.0
2020-04-08,8660.7,8719.04,8768.28,8660.7,2422442.0,2809422100.0,1256197800.0
2020-04-09,8765.95,8709.56,8788.5,8630.32,2281697.0,2640230492.0,1256197800.0
2020-04-10,8704.9,8758.43,8882.48,8671.97,2780434.0,3252600672.0,1256197800.0
2020-04-13,8758.43,8738.13,8795.87,8634.38,1598147.0,1854563731.0,1256197800.0
2020-04-14,8841.13,8909.54,8958.03,8765.95,3679955.0,4340858665.0,1256197800.0
2020-04-15,8961.42,8943.37,9051.56,8924.58,2933229.0,3501318260.0,1256197800.0
2020-04-16,8968.71,8999.76,8999.76,8902.02,2172774.0,2588431844.0,1256197800.0
2020-04-17,9096.74,9217.03,9281.38,9059.22,3824569.0,4676618151.0,1256197800.0
2020-04-20,9179.44,9226.8,9258.38,9147.86,2423864.0,2963483323.0,1256197800.0
2020-04-21,9179.59,9021.56,9201.92,8968.93,2922422.0,3517018487.0,1256197800.0
2020-04-22,9066.67,9356.11,9393.7,9038.25,4403473.0,5430377598.0,1256197800.0
2020-04-23,9397.46,9414.45,9515.34,9380.69,2689851.0,3377042463.0,1256197800.0
2020-04-24,9382.42,9401.67,9471.81,9286.04,1912240.0,2390444036.0,1256197800.0
2020-04-27,9450.08,9592.93,9609.24,9404.68,2590391.0,3284513346.0,1256197800.0
2020-04-28,9662.92,9616.46,9772.91,9561.95,3466190.0,4458549425.0,1256197800.0
2020-04-29,9606.46,9584.66,9683.89,9457.6,2344406.0,2976724957.0,1256197800.0
