date,open,close,high,low,volume,amount,amount
2020-01-02,205.5,209.73,211.03,204.7,36037956.0,747108515.0,1005176982.0
2020-01-03,209.52,210.23,213.75,209.32,33442039.0,702342925.0,1005176982.0
2020-01-06,211.23,220.69,222.5,211.23,60130285.0,1307863212.0,1005176982.0
2020-01-07,221.39,223.2,223.41,218.28,39829775.0,876196704.0,1005176982.0
2020-01-08,221.09,219.28,226.32,218.28,41567225.0,916102426.0,1005176982.0
2020-01-09,224.31,231.25,231.85,222.1,46515700.0,1054101919.0,1005176982.0
2020-01-10,231.35,228.33,233.16,226.12,30098880.0,685031784.0,1005176982.0
2020-01-13,229.24,231.65,233.77,227.43,32231971.0,739946603.0,1005176982.0
2020-01-14,231.35,226.83,231.35,223.51,37511676.0,848752226.0,1005176982.0
2020-01-15,226.62,228.74,230.85,224.91,32988977.0,748618423.0,1005176982.0
2020-01-16,228.74,236.08,236.28,226.72,46097334.0,1064596393.0,1005176982.0
2020-01-17,235.38,223.51,235.58,222.6,57630160.0,1306555245.0,1005176982.0
2020-01-20,221.59,229.24,232.66,220.09,40937190.0,929482246.0,1005176982.0
2020-01-21,230.35,228.43,233.36,226.02,32491106.0,740873166.0,1005176982.0
2020-01-22,227.33,242.22,242.72,224.01,63275863.0,1477294103.0,1005176982.0
2020-01-23,221.59,222.5,235.17,217.97,91454173.0,2052730497.0,1005176982.0
2020-02-03,200.27,200.27,200.27,200.27,6464900.0,128716159.0,1005176982.0
2020-02-04,180.25,194.44,199.36,180.25,69608010.0,1321461797.0,1005176982.0
2020-02-05,199.16,210.73,213.85,199.16,65450334.0,1350940526.0,1005176982.0
2020-02-06,210.23,213.35,216.06,206.2,56252133.0,1190350425.0,1005176982.0
2020-02-07,216.87,222.9,226.02,214.05,60105536.0,1320093045.0,1005176982.0
2020-02-10,223.81,221.19,224.31,216.26,44562709.0,976649381.0,1005176982.0
2020-02-11,221.29,216.36,223.1,212.74,48402652.0,1040872028.0,1005176982.0
2020-02-12,214.55,225.52,230.95,213.75,58769462.0,1304132057.0,1005176982.0
2020-02-13,224.21,224.71,232.06,222.4,55155115.0,1243933580.0,1005176982.0
2020-02-14,223.51,231.85,234.87,223.2,60483286.0,1382090617.0,1005176982.0
2020-02-17,235.27,237.09,238.19,229.14,68067376.0,1580938374.0,1005176982.0
2020-02-18,237.09,238.19,242.32,235.27,60039227.0,1420696504.0,1005176982.0
2020-02-19,236.98,233.87,242.42,232.36,63961710.0,1503258705.0,1005176982.0
2020-02-20,239.7,242.72,242.92,232.36,78628522.0,1868699206.0,1005176982.0
2020-02-21,245.23,248.65,256.1,243.02,95191708.0,2365700956.0,1005176982.0
2020-02-24,248.95,259.42,259.52,248.95,102844578.0,2594618052.0,1005176982.0
2020-02-25,251.57,255.69,261.13,238.59,109286151.0,2743181210.0,1005176982.0
2020-02-26,246.44,233.06,251.37,231.35,86056564.0,2066971161.0,1005176982.0
2020-02-27,233.97,232.96,237.39,226.52,47728290.0,1106106756.0,1005176982.0
