date,open,close,high,low,volume,amount,code,name
2020-01-02,77.17,77.62,78.3,77.11,1130028,2290358480.0,601166,兴业银行
2020-01-03,77.59,77.4,77.92,77.27,659291,1331182960.0,601166,兴业银行
2020-01-06,77.14,76.65,77.72,76.46,709165,1423391728.0,601166,兴业银行
2020-01-07,76.94,76.91,77.75,76.49,561163,1124203504.0,601166,兴业银行
2020-01-08,76.46,75.58,76.75,75.42,881732,1735240176.0,601166,兴业银行
2020-01-09,76.2,75.91,76.3,75.55,663379,1304306208.0,601166,兴业银行
2020-01-10,75.97,75.94,76.1,75.55,423807,831765632.0,601166,兴业银行
2020-01-13,75.94,75.97,76.0,75.36,600183,1176849616.0,601166,兴业银行
2020-01-14,76.3,76.13,76.85,76.0,537640,1066672624.0,601166,兴业银行
2020-01-15,76.23,75.29,76.26,75.06,600021,1172825744.0,601166,兴业银行
2020-01-16,75.42,74.58,75.65,74.32,827358,1597885344.0,601166,兴业银行
2020-01-17,74.58,74.51,75.03,74.29,440443,848596624.0,601166,兴业银行
2020-01-20,74.61,75.0,75.06,74.42,429896,831843648.0,601166,兴业银行
2020-01-21,74.68,73.93,74.77,73.77,610756,1168831056.0,601166,兴业银行
2020-01-22,73.77,74.13,74.45,73.48,553543,1055726400.0,601166,兴业银行
2020-01-23,73.74,72.38,73.77,72.12,1085587,2034260704.0,601166,兴业银行
2020-02-03,66.61,67.58,69.36,66.58,1629059,2791856672.0,601166,兴业银行
2020-02-04,67.9,68.97,69.23,67.81,1000232,1739864368.0,601166,兴业银行
2020-02-05,69.04,68.94,69.3,68.39,886399,1552795392.0,601166,兴业银行
2020-02-06,69.33,69.36,69.65,68.68,723495,1271588672.0,601166,兴业银行
2020-02-07,68.75,69.2,69.3,68.49,599835,1048985904.0,601166,兴业银行
2020-02-10,68.71,68.91,69.04,68.62,507002,887371504.0,601166,兴业银行
2020-02-11,69.17,69.46,69.98,69.14,616392,1094285872.0,601166,兴业银行
2020-02-12,69.62,69.56,69.65,69.04,432808,764282848.0,601166,兴业银行
2020-02-13,69.49,69.1,69.65,68.97,502738,886978592.0,601166,兴业银行
2020-02-14,68.94,69.65,69.82,68.88,525852,927995696.0,601166,兴业银行
2020-02-17,69.72,70.95,71.08,69.39,868214,1559141472.0,601166,兴业银行
2020-02-18,70.69,70.14,70.92,69.98,623146,1120382224.0,601166,兴业银行
2020-02-19,70.17,70.11,70.72,69.85,449353,806325728.0,601166,兴业银行
2020-02-20,70.3,70.95,71.18,69.98,750344,1351179616.0,601166,兴业银行
2020-02-21,70.59,70.72,71.31,70.5,678190,1227613888.0,601166,兴业银行
2020-02-24,70.5,69.95,70.79,69.91,734826,1316400624.0,601166,兴业银行
2020-02-25,69.33,69.52,69.91,69.01,757243,1336982976.0,601166,兴业银行
2020-02-26,69.04,69.49,70.24,68.84,831587,1472875200.0,601166,兴业银行
2020-02-27,69.62,69.88,70.08,69.52,617473,1097942256.0,601166,兴业银行
2020-02-28,69.27,68.16,69.69,68.0,875388,1525898448.0,601166,兴业银行
2020-03-02,68.49,69.14,69.33,68.23,763938,1337910160.0,601166,兴业银行
2020-03-03,69.52,69.36,69.82,69.2,629253,1113133872.0,601166,兴业银行
2020-03-04,69.33,69.52,69.59,68.94,530511,934190096.0,601166,兴业银行
2020-03-05,69.88,71.4,71.57,69.59,1198414,2168418880.0,601166,兴业银行
2020-03-06,70.79,70.2,71.08,70.14,698957,1258842048.0,601166,兴业银行
2020-03-09,69.17,68.42,69.17,68.29,973018,1693659328.0,601166,兴业银行
2020-03-10,68.42,69.07,69.3,68.16,758353,1328221232.0,601166,兴业银行
2020-03-11,69.2,68.36,69.27,68.33,641697,1120633056.0,601166,兴业银行
2020-03-12,68.29,67.84,68.65,67.68,757275,1305807872.0,601166,兴业银行
2020-03-13,65.93,66.77,67.16,65.51,1305323,2177467088.0,601166,兴业银行
2020-03-16,66.8,64.66,66.84,64.5,1065126,1754845888.0,601166,兴业银行
2020-03-17,64.63,64.34,65.77,63.72,895910,1445509824.0,601166,兴业银行
2020-03-18,64.53,63.01,64.86,62.91,817472,1309487296.0,601166,兴业银行
2020-03-19,62.59,60.78,62.95,60.52,1693451,2569271968.0,601166,兴业银行
2020-03-20,61.39,62.04,62.66,61.0,1063743,1630239168.0,601166,兴业银行
2020-03-23,60.74,60.78,61.42,60.61,856805,1290322304.0,601166,兴业银行
2020-03-24,61.94,62.14,62.3,61.46,829557,1275817808.0,601166,兴业银行
2020-03-25,63.21,63.43,63.69,62.69,869303,1369723968.0,601166,兴业银行
2020-03-26,63.34,64.6,65.86,63.08,1173570,1903645424.0,601166,兴业银行
2020-03-27,65.28,64.89,65.54,64.66,584062,953482160.0,601166,兴业银行
2020-03-30,64.24,64.63,64.73,63.98,542150,873850640.0,601166,兴业银行
2020-03-31,64.92,63.69,65.15,63.66,523816,842284752.0,601166,兴业银行
2020-04-01,63.72,63.85,64.57,63.69,498923,800570608.0,601166,兴业银行
2020-04-02,63.66,64.21,64.21,63.5,403486,645266864.0,601166,兴业银行
2020-04-03,64.08,64.18,64.31,63.66,420808,673144400.0,601166,兴业银行
2020-04-07,64.89,64.66,65.15,64.5,660678,1073613744.0,601166,兴业银行
2020-04-08,64.37,64.15,64.6,63.98,400591,643968384.0,601166,兴业银行
2020-04-09,64.44,64.08,64.5,64.02,271030,435104256.0,601166,兴业银行
2020-04-10,64.11,64.47,64.79,63.92,457053,737178016.0,601166,兴业银行
2020-04-13,64.21,63.82,64.24,63.63,375620,599264208.0,601166,兴业银行
2020-04-14,64.08,64.44,64.44,63.72,564654,904243920.0,601166,兴业银行
2020-04-15,64.37,63.98,64.37,63.92,333363,534083312.0,601166,兴业银行
2020-04-16,63.76,63.72,63.95,63.5,381000,606019072.0,601166,兴业银行
2020-04-17,64.05,64.18,64.44,63.76,613900,984508048.0,601166,兴业银行
2020-04-20,64.02,63.76,64.08,63.5,555806,884876576.0,601166,兴业银行
2020-04-21,63.63,63.34,63.95,63.24,411480,652686896.0,601166,兴业银行
2020-04-22,63.34,63.34,63.4,62.95,362422,570712160.0,601166,兴业银行
2020-04-23,63.5,63.04,63.56,62.95,337784,531942064.0,601166,兴业银行
2020-04-24,63.14,62.75,63.14,62.59,391000,611352160.0,601166,兴业银行
2020-04-27,63.11,64.05,64.31,62.98,659797,1055404320.0,601166,兴业银行
2020-04-28,64.21,64.28,64.28,63.56,473700,758389504.0,601166,兴业银行
2020-04-29,63.98,65.64,65.77,63.92,930777,1524542336.0,601166,兴业银行
2020-04-30,65.8,65.99,66.87,65.7,597440,997621056.0,601166,兴业银行
2020-05-06,65.05,65.05,65.44,64.57,686182,1118479600.0,601166,兴业银行
2020-05-07,65.05,64.5,65.05,64.44,489018,792596896.0,601166,兴业银行
2020-05-08,64.83,65.18,65.67,64.66,499030,816729088.0,601166,兴业银行
2020-05-11,65.25,65.25,65.7,65.12,438174,719941216.0,601166,兴业银行
2020-05-12,65.28,64.76,65.57,64.66,404260,659633904.0,601166,兴业银行
2020-05-13,64.57,64.79,64.86,64.41,316944,513161680.0,601166,兴业银行
