date,open,close,high,low,volume,amount,code,name
2020-01-02,1843.78,1833.48,1855.02,1800.33,167341,1429489072.0,000568,泸州老窖
2020-01-03,1843.78,1839.85,1867.75,1828.61,124658,1074108112.0,000568,泸州老窖
2020-01-06,1825.24,1836.66,1853.15,1817.37,87200,746499552.0,000568,泸州老窖
2020-01-07,1823.74,1843.78,1852.21,1819.43,91843,787221008.0,000568,泸州老窖
2020-01-08,1830.86,1822.24,1841.53,1816.81,72142,613110048.0,000568,泸州老窖
2020-01-09,1832.54,1871.88,1892.1,1817.56,176764,1534393824.0,000568,泸州老窖
2020-01-10,1871.13,1928.06,1945.67,1868.13,214657,1930197072.0,000568,泸州老窖
2020-01-13,1928.06,1975.45,2004.48,1926.19,189760,1772030176.0,000568,泸州老窖
2020-01-14,1963.65,1957.47,1982.94,1946.79,89732,826979616.0,000568,泸州老窖
2020-01-15,1958.03,1962.52,1998.3,1956.16,89071,827445728.0,000568,泸州老窖
2020-01-16,1959.9,1968.33,1976.94,1952.41,49948,462384656.0,000568,泸州老窖
2020-01-17,1974.88,1952.41,1986.12,1943.61,53572,493419312.0,000568,泸州老窖
2020-01-20,1952.41,1929.75,1961.77,1918.7,108568,983616736.0,000568,泸州老窖
2020-01-21,1918.7,1867.38,1918.7,1854.46,156729,1373275616.0,000568,泸州老窖
2020-01-22,1841.72,1872.06,1882.55,1836.48,86195,749282288.0,000568,泸州老窖
2020-01-23,1869.44,1781.04,1869.44,1761.0,187862,1570885072.0,000568,泸州老窖
2020-02-03,1626.34,1626.34,1626.34,1626.34,44408,330351120.0,000568,泸州老窖
2020-02-04,1562.85,1583.82,1661.74,1541.87,431005,3077752928.0,000568,泸州老窖
2020-02-05,1581.95,1589.07,1619.03,1564.16,306887,2230127424.0,000568,泸州老窖
2020-02-06,1588.51,1616.97,1625.03,1578.02,183769,1341103280.0,000568,泸州老窖
2020-02-07,1609.86,1633.27,1635.7,1586.26,176716,1299849776.0,000568,泸州老窖
2020-02-10,1619.03,1613.79,1628.4,1591.31,172087,1265595984.0,000568,泸州老窖
2020-02-11,1618.85,1682.71,1693.95,1614.35,216261,1651211776.0,000568,泸州老窖
2020-02-12,1682.71,1684.4,1698.82,1658.93,136895,1057427616.0,000568,泸州老窖
2020-02-13,1676.72,1684.59,1727.66,1673.35,129124,1010605024.0,000568,泸州老窖
2020-02-14,1690.2,1688.71,1695.07,1668.1,80650,623526992.0,000568,泸州老窖
2020-02-17,1678.97,1698.07,1698.07,1672.97,113168,876266928.0,000568,泸州老窖
2020-02-18,1699.76,1688.33,1702.75,1676.34,86254,669853136.0,000568,泸州老窖
2020-02-19,1682.53,1713.24,1729.53,1675.6,152590,1203962400.0,000568,泸州老窖
2020-02-20,1710.81,1783.29,1783.85,1710.81,177957,1458378224.0,000568,泸州老窖
2020-02-21,1768.68,1781.79,1800.7,1760.44,95310,786572224.0,000568,泸州老窖
2020-02-24,1778.04,1752.2,1778.04,1731.41,119737,968352960.0,000568,泸州老窖
2020-02-25,1717.92,1722.98,1738.15,1690.2,147484,1167207856.0,000568,泸州老窖
2020-02-26,1696.76,1703.31,1737.96,1686.46,97471,767928176.0,000568,泸州老窖
2020-02-27,1705.0,1713.05,1730.47,1705.0,81344,645001024.0,000568,泸州老窖
2020-02-28,1683.27,1634.02,1683.46,1621.66,181801,1375582288.0,000568,泸州老窖
2020-03-02,1632.14,1690.58,1697.32,1630.27,122668,940271456.0,000568,泸州老窖
2020-03-03,1699.57,1712.68,1725.79,1699.57,115828,917306976.0,000568,泸州老窖
2020-03-04,1703.88,1710.43,1726.73,1697.51,81222,640139056.0,000568,泸州老窖
2020-03-05,1721.67,1795.09,1818.68,1716.24,232678,1917881184.0,000568,泸州老窖
2020-03-06,1770.74,1757.25,1818.68,1755.01,137304,1133973488.0,000568,泸州老窖
2020-03-09,1731.22,1690.2,1731.41,1688.33,115690,911081056.0,000568,泸州老窖
2020-03-10,1690.02,1754.26,1758.0,1682.71,114131,910343408.0,000568,泸州老窖
2020-03-11,1768.87,1759.69,1798.83,1753.51,152419,1256478640.0,000568,泸州老窖
2020-03-12,1740.77,1736.09,1740.77,1705.56,91076,725465648.0,000568,泸州老窖
2020-03-13,1673.35,1711.18,1746.02,1661.17,107264,839818416.0,000568,泸州老窖
2020-03-16,1719.98,1619.97,1719.98,1607.42,163725,1244996640.0,000568,泸州老窖
2020-03-17,1610.04,1575.02,1654.24,1536.63,173351,1245893264.0,000568,泸州老窖
2020-03-18,1579.7,1539.81,1613.04,1536.81,116276,834043152.0,000568,泸州老窖
2020-03-19,1525.39,1478.75,1534.38,1448.23,212921,1420215232.0,000568,泸州老窖
2020-03-20,1495.42,1518.83,1538.31,1487.93,146145,997565584.0,000568,泸州老窖
2020-03-23,1473.88,1481.0,1505.35,1468.64,94908,636917248.0,000568,泸州老窖
2020-03-24,1509.09,1547.3,1547.49,1505.16,137978,954421136.0,000568,泸州老窖
2020-03-25,1592.81,1598.62,1606.86,1577.83,127014,923055552.0,000568,泸州老窖
2020-03-26,1587.38,1599.93,1632.89,1575.58,86246,634785280.0,000568,泸州老窖
2020-03-27,1617.35,1628.4,1661.36,1615.48,117310,883326880.0,000568,泸州老窖
2020-03-30,1600.3,1579.89,1612.29,1577.83,102356,742051232.0,000568,泸州老窖
2020-03-31,1599.74,1612.48,1627.27,1591.13,79108,582476016.0,000568,泸州老窖
2020-04-01,1612.85,1616.04,1632.71,1591.13,69790,515435376.0,000568,泸州老窖
2020-04-02,1600.49,1623.72,1623.72,1590.94,77915,571797872.0,000568,泸州老窖
2020-04-03,1623.72,1624.65,1646.75,1616.22,65158,487033904.0,000568,泸州老窖
2020-04-07,1652.18,1660.99,1681.4,1652.18,97422,745392720.0,000568,泸州老窖
2020-04-08,1647.13,1658.74,1666.04,1641.51,60483,459439104.0,000568,泸州老窖
2020-04-09,1675.22,1663.05,1682.71,1651.81,56085,428244624.0,000568,泸州老窖
2020-04-10,1656.3,1672.41,1700.88,1648.25,88107,680797872.0,000568,泸州老窖
2020-04-13,1665.11,1696.38,1702.75,1656.49,83486,648227872.0,000568,泸州老窖
2020-04-14,1709.12,1701.25,1714.36,1691.14,84810,665249760.0,000568,泸州老窖
2020-04-15,1708.0,1705.75,1730.85,1700.69,77043,610438480.0,000568,泸州老窖
2020-04-16,1695.45,1678.59,1703.31,1664.55,82791,639544832.0,000568,泸州老窖
2020-04-17,1692.08,1700.13,1715.68,1684.4,92118,724039520.0,000568,泸州老窖
2020-04-20,1707.25,1694.89,1711.37,1684.59,90302,702719952.0,000568,泸州老窖
2020-04-21,1684.02,1632.71,1684.02,1619.41,187230,1401405488.0,000568,泸州老窖
2020-04-22,1624.47,1680.46,1688.71,1615.48,145218,1107057872.0,000568,泸州老窖
2020-04-23,1683.09,1689.08,1722.04,1683.09,110532,866873712.0,000568,泸州老窖
2020-04-24,1696.95,1691.7,1718.11,1678.97,104941,823116000.0,000568,泸州老窖
2020-04-27,1693.95,1696.76,1708.37,1680.46,61848,483897440.0,000568,泸州老窖
2020-04-28,1714.55,1778.23,1798.46,1701.63,226743,1842985872.0,000568,泸州老窖
2020-04-29,1750.14,1714.36,1775.98,1707.06,191255,1533385296.0,000568,泸州老窖
2020-04-30,1715.49,1715.86,1737.59,1703.31,121667,963624320.0,000568,泸州老窖
2020-05-06,1710.81,1713.24,1722.98,1697.32,135138,1064831936.0,000568,泸州老窖
2020-05-07,1720.17,1737.03,1751.26,1704.81,136613,1093461520.0,000568,泸州老窖
2020-05-08,1742.83,1762.12,1792.84,1727.85,174332,1424080528.0,000568,泸州老窖
2020-05-11,1772.8,1783.85,1816.06,1764.18,162812,1358074528.0,000568,泸州老窖
2020-05-12,1777.67,1808.57,1811.57,1774.48,114027,956082496.0,000568,泸州老窖
2020-05-13,1808.2,1893.6,1908.4,1806.32,211020,1851767536.0,000568,泸州老窖
2020-05-14,1888.54,1877.49,1899.97,1861.95,125726,1104577664.0,000568,泸州老窖
2020-05-15,1869.44,1873.0,1897.16,1843.41,125145,1093160704.0,000568,泸州老窖
2020-05-18,1873.0,1909.33,1931.06,1862.89,144433,1290973952.0,000568,泸州老窖
2020-05-19,1929.93,1901.84,1930.87,1888.73,122466,1090639040.0,000568,泸州老窖
2020-05-20,1902.22,1878.06,1907.27,1871.88,87433,771074224.0,000568,泸州老窖
2020-05-21,1885.92,1874.31,1901.84,1864.38,100292,882224576.0,000568,泸州老窖
2020-05-22,1873.37,1807.82,1873.37,1804.08,150704,1278682512.0,000568,泸州老窖
2020-05-25,1807.63,1820.93,1829.73,1787.41,118510,998913440.0,000568,泸州老窖
2020-05-26,1825.05,1831.61,1836.29,1798.83,101816,864403056.0,000568,泸州老窖
2020-05-27,1831.98,1809.32,1840.04,1802.58,93608,793573424.0,000568,泸州老窖
2020-05-28,1806.32,1806.32,1840.22,1796.02,103564,875050848.0,000568,泸州老窖
2020-05-29,1805.2,1830.67,1839.1,1794.71,102803,873471472.0,000568,泸州老窖
2020-06-01,1842.1,1904.09,1929.19,1838.16,194289,1732255696.0,000568,泸州老窖
2020-06-02,1916.82,1883.3,1927.69,1875.62,141565,1257946656.0,000568,泸州老窖
2020-06-03,1883.3,1871.5,1896.41,1858.58,116740,1020901632.0,000568,泸州老窖
2020-06-04,1880.3,1901.47,1924.32,1880.12,119357,1063820944.0,000568,泸州老窖
2020-06-05,1919.26,1985.93,1998.67,1897.35,221008,2040668096.0,000568,泸州老窖
2020-06-08,2002.98,2012.9,2051.67,1993.8,169110,1614017648.0,000568,泸州老窖
2020-06-09,2012.9,2027.14,2055.42,1996.05,122719,1175393456.0,000568,泸州老窖
2020-06-10,2027.51,2030.13,2032.01,2005.04,88997,849527248.0,000568,泸州老窖
2020-06-11,2030.13,2010.47,2042.68,1987.43,131446,1248677072.0,000568,泸州老窖
2020-06-12,1974.88,2012.34,2012.34,1965.52,112375,1057203328.0,000568,泸州老窖
2020-06-15,1984.44,1925.44,1991.55,1914.76,216585,1981368928.0,000568,泸州老窖
2020-06-16,1935.18,1927.87,1973.2,1921.51,212073,1930997728.0,000568,泸州老窖
2020-06-17,1928.06,1911.21,1940.98,1890.6,141181,1260156864.0,000568,泸州老窖
2020-06-18,1909.33,1916.64,1925.63,1898.1,101980,914980928.0,000568,泸州老窖
2020-06-19,1919.45,1954.1,1971.14,1919.45,175146,1608157568.0,000568,泸州老窖
2020-06-22,1958.78,1926.38,1961.77,1911.21,177228,1601264752.0,000568,泸州老窖
2020-06-23,1924.88,1980.13,1984.25,1911.21,204118,1883997776.0,000568,泸州老窖
2020-06-24,1979.75,1964.77,1997.36,1946.79,162712,1505023472.0,000568,泸州老窖
2020-06-29,1942.11,1935.18,1947.73,1914.95,175229,1580141216.0,000568,泸州老窖
2020-06-30,1941.17,1939.67,1953.72,1935.18,141729,1293655360.0,000568,泸州老窖
2020-07-01,1948.29,2110.3,2110.3,1946.79,440457,4325700608.0,000568,泸州老窖
2020-07-02,2133.71,2248.51,2296.09,2124.72,426302,4531835392.0,000568,泸州老窖
2020-07-03,2274.74,2295.15,2317.25,2209.93,327626,3551127728.0,000568,泸州老窖
2020-07-06,2294.96,2320.81,2364.45,2270.8,290370,3219090176.0,000568,泸州老窖
2020-07-07,2308.26,2384.11,2443.48,2272.11,253572,2909119728.0,000568,泸州老窖
2020-07-08,2339.54,2384.86,2424.38,2338.41,176460,2016555488.0,000568,泸州老窖
2020-07-09,2384.86,2471.2,2471.2,2376.43,157411,1855568240.0,000568,泸州老窖
2020-07-10,2467.46,2508.66,2577.4,2432.06,185745,2266892208.0,000568,泸州老窖
2020-07-13,2480.57,2572.53,2611.67,2468.96,263571,3285481216.0,000568,泸州老窖
2020-07-14,2574.21,2551.74,2609.98,2480.57,179935,2224227312.0,000568,泸州老窖
2020-07-15,2546.12,2628.15,2690.33,2542.19,209542,2665744816.0,000568,泸州老窖
2020-07-16,2589.2,2388.61,2590.13,2388.61,310380,3701452160.0,000568,泸州老窖
2020-07-17,2315.94,2368.38,2447.79,2315.94,246060,2826244384.0,000568,泸州老窖
2020-07-20,2386.92,2345.72,2405.65,2235.22,237361,2627571584.0,000568,泸州老窖
2020-07-21,2343.66,2387.48,2425.88,2326.99,176062,2023786560.0,000568,泸州老窖
2020-07-22,2380.37,2426.25,2458.28,2350.78,161711,1895812192.0,000568,泸州老窖
2020-07-23,2405.65,2480.57,2488.06,2397.78,171109,2021801408.0,000568,泸州老窖
2020-07-24,2464.46,2367.82,2478.32,2333.92,173770,2004207840.0,000568,泸州老窖
2020-07-27,2367.63,2387.86,2413.14,2349.46,106373,1223095264.0,000568,泸州老窖
2020-07-28,2368.38,2422.51,2465.4,2368.19,157619,1841111104.0,000568,泸州老窖
2020-07-29,2443.48,2446.67,2454.35,2375.31,144068,1675632720.0,000568,泸州老窖
2020-07-30,2424.57,2446.67,2480.57,2424.38,128436,1526305776.0,000568,泸州老窖
2020-07-31,2442.92,2442.73,2471.58,2401.34,121967,1437328640.0,000568,泸州老窖
2020-08-03,2444.98,2433.93,2469.33,2411.27,114793,1347943360.0,000568,泸州老窖
2020-08-04,2434.12,2426.25,2471.02,2416.51,113556,1337898160.0,000568,泸州老窖
2020-08-05,2405.65,2459.22,2461.65,2377.74,130933,1533987552.0,000568,泸州老窖
2020-08-06,2443.11,2381.87,2452.47,2368.94,148122,1708921408.0,000568,泸州老窖
