ticker,month,monthly_ret,cpi_yoy,m2_yoy
000568,2008-01,-0.1333333333333333,7.0781,18.88
000568,2008-02,0.1295133437990581,8.7443,17.39
000568,2008-03,-0.13829047949965256,8.3097,16.19
000568,2008-04,-0.01774193548387104,8.4829,16.94
000568,2008-05,-0.3844006568144499,7.7163,18.07
000568,2008-06,-0.19738596959189125,7.0844,17.37
000568,2008-07,0.11432369557992694,6.302,16.35
000568,2008-08,-0.14106770056665674,4.9001,16.0
000568,2008-09,-0.09722222222222221,4.6425,15.29
000568,2008-10,-0.25769230769230766,3.9744,15.02
000568,2008-11,0.023316062176165664,2.434,14.8
000568,2008-12,-0.07848101265822793,1.1999,17.82
000568,2009-01,0.026373626373626502,0.95,18.79
000568,2009-02,0.024089935760171377,-1.5582,20.48
000568,2009-03,0.12284370099320441,-1.1714,25.51
000568,2009-04,0.025139664804469275,-1.5,25.95
000568,2009-05,-0.005903723887375034,-1.3713,25.74
000568,2009-06,0.3111009593421652,-1.7,28.46
000568,2009-07,0.11324041811846697,-1.8057,28.42
000568,2009-08,-0.1693270735524257,-1.2043,28.53
000568,2009-09,0.10776186887716643,-0.7883,29.31
000568,2009-10,-0.03469387755102038,-0.53,29.42
000568,2009-11,0.38583509513742076,0.56,29.74
000568,2009-12,-0.007373506229341409,1.8559,27.68
000568,2010-01,-0.10373975409836056,1.53,25.98
000568,2010-02,-0.056016004572735034,2.6953,25.52
000568,2010-03,-0.03088101725703918,2.3707,22.5
000568,2010-04,-0.036238675413933,2.8136,21.48
000568,2010-05,-0.055429497568881714,3.0613,21.0
000568,2010-06,-0.03157172271791353,2.9499,18.5
000568,2010-07,0.15910701630049617,3.3042,17.6
000568,2010-08,0.104860898807704,3.4794,19.2
000568,2010-09,0.004150525733259469,3.6056,19.0
000568,2010-10,0.12785891430146057,4.3655,19.3
000568,2010-11,0.10236989982897615,5.1192,19.5
000568,2010-12,-0.09352836879432624,4.5859,19.7
000568,2011-01,0.008557457212714059,4.9121,17.2
000568,2011-02,0.03903030303030297,4.9443,15.7
000568,2011-03,0.04059729351376573,5.383,16.6
000568,2011-04,0.02130044843049328,5.3442,15.3
000568,2011-05,-0.00965971459934134,5.5146,15.1
000568,2011-06,0.00022168033695413314,6.3553,15.9
000568,2011-07,0.06427304964539027,6.4508,14.7
000568,2011-08,-0.03394418992086634,6.1514,13.5
000568,2011-09,-0.16145721060573404,6.0671,13.04
000568,2011-10,0.06683804627249357,5.4954,12.9
000568,2011-11,0.003855421686746796,4.2246,12.7
000568,2011-12,-0.10465674507921263,4.0704,13.6
000568,2012-01,-0.005093833780160817,4.5485,12.4
000568,2012-02,0.09646995419024518,3.1613,13.0
000568,2012-03,-0.03932170066355356,3.5856,13.4
000568,2012-04,0.11870043489383453,3.3653,12.8
000568,2012-05,-0.09558655385319004,3.0008,13.2
000568,2012-06,0.06978508217446278,2.1504,13.6
000568,2012-07,-0.0593240368707163,1.8,13.9
000568,2012-08,-0.10125628140703502,2.0,13.5
000568,2012-09,0.0763209393346378,1.9,14.8
000568,2012-10,0.01376623376623387,1.7,14.1
000568,2012-11,-0.1419420958237253,2.0,13.9
000568,2012-12,0.05703194983577187,2.5,13.8
000568,2013-01,-0.13389830508474576,2.0,15.9
000568,2013-02,0.03555120678408352,3.2,15.2
000568,2013-03,-0.19685039370078738,2.1,15.7
000568,2013-04,-0.04196078431372552,2.4,16.1
000568,2013-05,0.08309455587392556,2.0981,15.8
000568,2013-06,-0.1012849584278156,2.7,14.0
000568,2013-07,-0.11143818334735078,2.7,14.5
000568,2013-08,0.06956933270231902,2.6,14.7
000568,2013-09,-0.0663716814159292,3.1,14.2
000568,2013-10,-0.050236966824644624,3.2,14.3
000568,2013-11,0.034930139720558806,3.0,14.2
000568,2013-12,-0.028929604628736616,2.49871692,13.6
000568,2014-01,-0.18718967229394234,2.5,13.2
000568,2014-02,0.026878436163713992,2.0,13.3
000568,2014-03,0.01903628792385481,2.4,12.1
000568,2014-04,-0.03794512551079965,1.80138144,13.2
000568,2014-05,-0.040048543689320426,2.5,13.4
000568,2014-06,0.03539823008849541,2.3,14.7
000568,2014-07,0.1776556776556777,2.3,13.5
000568,2014-08,-0.07205806117159153,2.0,12.8
000568,2014-09,-0.0061452513966480105,1.6,12.9
000568,2014-10,-0.05340078695896566,1.60114868,12.6
000568,2014-11,0.06353919239904982,1.4,12.3
000568,2014-12,0.1390284757118927,1.5,12.2
000568,2015-01,-0.06274509803921557,0.8,10.8
000568,2015-02,0.06485355648535562,1.4,12.5
000568,2015-03,0.2053045186640472,1.4,11.6
000568,2015-04,0.04726976365118185,1.5,10.1
000568,2015-05,-0.01906614785992211,1.2,10.8
000568,2015-06,0.29353431178103917,1.4,11.8
000568,2015-07,-0.23888377798221405,1.6,13.3
000568,2015-08,-0.1204673650282031,2.0,13.3
000568,2015-09,-0.059092991296381125,1.59560463,13.1
000568,2015-10,0.17721518987341778,1.3,13.5
000568,2015-11,-0.04052936311000832,1.5,13.7
000568,2015-12,0.16896551724137931,1.6,13.3
000568,2016-01,-0.21644542772861364,1.8,14.0
000568,2016-02,-0.06729411764705884,2.3,13.3
000568,2016-03,0.24369323915237118,2.3,13.4
000568,2016-04,-0.04665314401622711,2.3,12.8
000568,2016-05,0.0442553191489361,2.0,11.8
000568,2016-06,0.2102689486552567,1.9,11.8
000568,2016-07,0.09393939393939399,1.8,10.2
000568,2016-08,-0.019082794706063444,1.3,11.4
000568,2016-09,-0.024788202070913146,1.9,11.5
000568,2016-10,0.1068211068211069,2.1,11.6
000568,2016-11,-0.0031976744186046346,2.3,11.4
000568,2016-12,-0.03762029746281714,2.1,11.3
000568,2017-01,0.020909090909090766,2.5,10.7032
000568,2017-02,0.1098248738498071,0.8,10.45
000568,2017-03,0.1283765712757421,0.9,10.1178
000568,2017-04,0.10215690922019438,1.2,9.8426
000568,2017-05,0.036989247311827844,1.5,9.1289
000568,2017-06,0.048942347573620815,1.5,9.1013
000568,2017-07,0.09470146302886517,1.4,8.89
000568,2017-08,-0.0016254289326349536,1.8,8.5633
000568,2017-09,0.014833574529667048,1.6,8.976
000568,2017-10,0.08520499108734403,1.9,8.8771
000568,2017-11,-0.026281208935611033,1.7,9.1148
000568,2017-12,0.11336032388663964,1.8,8.0654
000568,2018-01,-0.010454545454545383,1.5,8.6
000568,2018-02,-0.1056499770326138,2.9,8.8
000568,2018-03,-0.028419791131655492,2.1,8.2
000568,2018-04,0.061321585903083564,1.8,8.3
000568,2018-05,0.14726880292213185,1.8,8.3
000568,2018-06,-0.1192474674384949,1.9,8.0
000568,2018-07,-0.09743674005915215,2.1,8.5
000568,2018-08,-0.21554705989441103,2.3,8.2
000568,2018-09,0.10257600371315845,2.5,8.3
000568,2018-10,-0.19890549358029885,2.5,8.0
000568,2018-11,0.07724645296899624,2.2,8.0
000568,2018-12,-0.008292682926829387,1.9,8.1
000568,2019-01,0.04943433349729487,1.7,8.4
000568,2019-02,0.20084368408718078,1.5,8.0
000568,2019-03,0.29937548790007806,2.3,8.6
000568,2019-04,0.1697206368278763,2.5,8.5
000568,2019-05,-0.0930919363122753,2.7,8.5
000568,2019-06,0.14441455472178966,2.7,8.5
000568,2019-07,-0.0023506123963874526,2.8,8.1
000568,2019-08,0.20138888888888884,2.8,8.2
000568,2019-09,-0.12035507844756399,3.0,8.4
000568,2019-10,0.023233982633184658,3.8,8.4
000568,2019-11,-0.0625,4.5,8.2
000568,2019-12,0.06030581039755356,4.5,8.7
000568,2020-01,-0.04649284725426861,5.4,8.4
000568,2020-02,-0.09497882637628563,5.2,8.8
000568,2020-03,-0.015374331550802034,4.3,10.1
000568,2020-04,0.07494908350305485,3.3,11.1
000568,2020-05,0.07742831880762902,2.4,11.1
000568,2020-06,0.06822977725674106,2.5,11.1
000568,2020-07,0.294776119402985,2.7,10.7
000568,2020-08,0.2671639260891676,2.4,10.4
000568,2020-09,-0.03979933110367884,1.7,10.9
000568,2020-10,0.20167189132706365,0.5,10.5
000568,2020-11,0.06278260869565222,-0.5,10.7
000568,2020-12,0.23362242949871814,0.2,10.1
000568,2021-01,0.13945879023700036,-0.3,9.4
000568,2021-02,-0.08727202173069448,-0.2,10.1
000568,2021-03,-0.04332298796819867,0.4,9.4
000568,2021-04,0.13581015020887022,0.9,8.1
000568,2021-05,0.07578840284842303,1.3,8.3
000568,2021-06,-0.14188034188034182,1.1,8.6
000568,2021-07,-0.2748156310926507,1.0,8.3
000568,2021-08,-0.006428988895382792,0.8,8.2
000568,2021-09,0.3034117647058825,0.7,8.3
000568,2021-10,0.033261124650239005,1.5,8.7
000568,2021-11,0.004804542476523288,2.3,8.5
000568,2021-12,0.10354270810693333,1.5,9.0
000568,2022-01,-0.14794973805490996,0.9,9.8
000568,2022-02,0.0013406684850445494,0.9,9.2
000568,2022-03,-0.14182825484764539,1.5,9.7
000568,2022-04,0.13368840111900138,2.1,10.5
000568,2022-05,0.019313813885066367,2.1,11.1
000568,2022-06,0.14776536312849142,2.5,11.4
000568,2022-07,-0.09872637300235254,2.7,12.0
000568,2022-08,0.054005400540054094,2.5,12.2
000568,2022-09,-0.015115286080273238,2.8,12.1
000568,2022-10,-0.3221624902453828,2.1,11.8
000568,2022-11,0.18970259034218095,1.6,12.4
000568,2022-12,0.20574162679425845,1.8,11.8
000568,2023-01,0.05671482075976453,2.1,12.6
000568,2023-02,0.05485232067510548,1.0,12.9
000568,2023-03,0.019160000000000066,0.7,12.7
000568,2023-04,-0.11205306330703713,0.1,12.4
000568,2023-05,-0.0981700848656295,0.2,11.6
000568,2023-06,0.027152869676027924,0.0,11.3
000568,2023-07,0.15049864007252967,-0.3,10.7
000568,2023-08,-0.036539338890962614,0.1,10.6
000568,2023-09,-0.06736978045630648,0.0,10.3
000568,2023-10,-0.00941610893145628,-0.2,10.3
000568,2023-11,-0.03312986347327718,-0.5,10.0
000568,2023-12,-0.13532530120481934,-0.3,9.7
000568,2024-01,-0.1818080481551665,-0.8,8.7
000568,2024-02,0.19720708446866486,0.7,8.7
000568,2024-03,0.05029871977240408,0.1,8.3
000568,2024-04,0.008180291456741928,0.3,7.2
000568,2024-05,-0.06045137023105862,0.3,7.0
000568,2024-06,-0.17935373177008862,0.2,6.2
000568,2024-07,-0.08941389643877629,0.5,6.3
000568,2024-08,-0.08709628042247053,0.6,6.3
000568,2024-09,0.255030181086519,0.4,6.8
000568,2024-10,-0.09478957915831665,0.3,7.5
000568,2024-11,0.023762083979042226,0.2,7.1
000568,2024-12,-0.09752757154184377,0.1,7.3
000568,2025-01,-0.07707667731629397,0.5,7.0
000568,2025-02,0.09441800086542629,-0.7,7.0
000568,2025-03,0.02577890241973746,-0.1,7.0
000568,2025-04,-0.046099290780141855,-0.1,8.0
000568,2025-05,-0.05511556489413283,-0.1,7.9
000568,2025-06,-0.030106055422511102,0.1,8.3
000568,2025-07,0.08377425044091713,0.0,8.8
000568,2025-08,0.11627339300244088,-0.4,8.8
000568,2025-09,-0.0384138785625775,-0.3,8.4
000568,2025-10,0.019860521528198838,0.2,8.2
000568,2025-11,0.00995986323769893,0.7,8.0
000568,2025-12,-0.14468648807771556,0.8,8.5
000568,2026-01,0.04026845637583909,0.2,9.0
000568,2026-02,-0.08602150537634412,1.3,9.0
000568,2026-03,-0.05266968325791854,1.0,8.5
000568,2026-04,-0.043752388230798744,1.2,8.6
000988,2008-01,-0.022644265887509007,7.0781,18.88
000988,2008-02,0.15171898355754854,8.7443,17.39
000988,2008-03,-0.25697598961713175,8.3097,16.19
000988,2008-04,-0.09606986899563319,8.4829,16.94
000988,2008-05,0.06280193236714982,7.7163,18.07
000988,2008-06,-0.3018181818181819,7.0844,17.37
000988,2008-07,0.04947916666666674,6.302,16.35
000988,2008-08,-0.23200992555831268,4.9001,16.0
000988,2008-09,-0.04684975767366717,4.6425,15.29
000988,2008-10,-0.2271186440677967,3.9744,15.02
000988,2008-11,0.13157894736842124,2.434,14.8
000988,2008-12,0.08333333333333326,1.1999,17.82
000988,2009-01,0.184257602862254,0.95,18.79
000988,2009-02,-0.0558912386706949,-1.5582,20.48
000988,2009-03,0.22079999999999989,-1.1714,25.51
000988,2009-04,0.31979030144167764,-1.5,25.95
000988,2009-05,-0.009930486593843102,-1.3713,25.74
000988,2009-06,0.17452357071213642,-1.7,28.46
000988,2009-07,0.04782237403928247,-1.8057,28.42
000988,2009-08,-0.1727791361043194,-1.2043,28.53
000988,2009-09,-0.03448275862068961,-0.7883,29.31
000988,2009-10,0.0714285714285714,-0.53,29.42
000988,2009-11,0.030476190476190546,0.56,29.74
000988,2009-12,0.3687615526802219,1.8559,27.68
000988,2010-01,0.03106009453072245,1.53,25.98
000988,2010-02,0.07007203667321549,2.6953,25.52
000988,2010-03,0.06119951040391669,2.3707,22.5
000988,2010-04,0.1707035755478663,2.8136,21.48
000988,2010-05,-0.11428571428571432,3.0613,21.0
000988,2010-06,-0.2230255839822024,2.9499,18.5
000988,2010-07,0.15676449534717252,3.3042,17.6
000988,2010-08,0.021039603960395947,3.4794,19.2
000988,2010-09,0.00242424242424244,3.6056,19.0
000988,2010-10,0.16686819830713429,4.3655,19.3
000988,2010-11,-0.06735751295336789,5.1192,19.5
000988,2010-12,0.06888888888888878,4.5859,19.7
000988,2011-01,0.021309771309771408,4.9121,17.2
000988,2011-02,0.19185750636132326,4.9443,15.7
000988,2011-03,-0.12510674637062358,5.383,16.6
000988,2011-04,-0.04343582235236687,5.3442,15.3
000988,2011-05,-0.062244897959183754,5.5146,15.1
000988,2011-06,0.01305767138193703,6.3553,15.9
000988,2011-07,-0.02846401718582181,6.4508,14.7
000988,2011-08,-0.024322830292979658,6.1514,13.5
000988,2011-09,-0.17450424929178465,6.0671,13.04
000988,2011-10,-0.006863417982155062,5.4954,12.9
000988,2011-11,0.022805805114028965,4.2246,12.7
000988,2011-12,-0.13108108108108119,4.0704,13.6
000988,2012-01,0.06220839813374801,4.5485,12.4
000988,2012-02,0.14055636896046853,3.1613,13.0
000988,2012-03,0.023748395378690557,3.5856,13.4
000988,2012-04,0.04639498432601896,3.3653,12.8
000988,2012-05,-0.0215698022768126,3.0008,13.2
000988,2012-06,-0.15676668707899566,2.1504,13.6
000988,2012-07,-0.5780682643427741,1.8,13.9
000988,2012-08,0.05679862306368322,2.0,13.5
000988,2012-09,-0.04560260586319209,1.9,14.8
000988,2012-10,-0.04948805460750849,1.7,14.1
000988,2012-11,-0.17594254937163378,2.0,13.9
000988,2012-12,0.20697167755991286,2.5,13.8
000988,2013-01,0.2815884476534296,2.0,15.9
000988,2013-02,0.12253521126760569,3.2,15.2
000988,2013-03,-0.17942283563362604,2.1,15.7
000988,2013-04,-0.07951070336391441,2.4,16.1
000988,2013-05,0.23089700996677753,2.0981,15.8
000988,2013-06,-0.22537112010796223,2.7,14.0
000988,2013-07,0.06968641114982566,2.7,14.5
000988,2013-08,0.01140065146579805,2.6,14.7
000988,2013-09,0.0370370370370372,3.1,14.2
000988,2013-10,-0.04813664596273304,3.2,14.3
000988,2013-11,0.11419249592169667,3.0,14.2
000988,2013-12,0.008784773060029227,2.49871692,13.6
000988,2014-01,0.0,2.5,13.2
000988,2014-02,0.2554426705370103,2.0,13.3
000988,2014-03,-0.003468208092485714,2.4,12.1
000988,2014-04,-0.051044083526682105,1.80138144,13.2
000988,2014-05,0.04034229828850866,2.5,13.4
000988,2014-06,0.10340775558166881,2.3,14.7
000988,2014-07,-0.028753993610223794,2.3,13.5
000988,2014-08,0.08223684210526327,2.0,12.8
000988,2014-09,0.12259371833839938,1.6,12.9
000988,2014-10,0.10469314079422376,1.60114868,12.6
000988,2014-11,0.10784313725490202,1.4,12.3
000988,2014-12,-0.11946902654867264,1.5,12.2
000988,2015-01,0.02680067001675046,0.8,10.8
000988,2015-02,0.06443719412724325,1.4,12.5
000988,2015-03,0.2260536398467432,1.4,11.6
000988,2015-04,-0.0012499999999999734,1.5,10.1
000988,2015-05,0.3504380475594491,1.2,10.8
000988,2015-06,-0.17469879518072284,1.4,11.8
000988,2015-07,-0.1588994946659179,1.6,13.3
000988,2015-08,-0.11882510013351144,2.0,13.3
000988,2015-09,-0.16893939393939383,1.59560463,13.1
000988,2015-10,0.6171376481312669,1.3,13.5
000988,2015-11,-0.08962795941375423,1.5,13.7
000988,2015-12,0.31145510835913326,1.6,13.3
000988,2016-01,-0.374409820585458,1.8,14.0
000988,2016-02,0.14113207547169804,2.3,13.3
000988,2016-03,0.26190476190476186,2.3,13.4
000988,2016-04,-0.09905660377358472,2.3,12.8
000988,2016-05,0.08667830133798704,2.0,11.8
000988,2016-06,0.07334047109207709,1.9,11.8
000988,2016-07,-0.07431421446384046,1.8,10.2
000988,2016-08,-0.00969827586206895,1.3,11.4
000988,2016-09,-0.06420021762785633,1.9,11.5
000988,2016-10,-0.011046511627906819,2.1,11.6
000988,2016-11,-0.01763668430335097,2.3,11.4
000988,2016-12,-0.06343506882106531,2.1,11.3
000988,2017-01,-0.03897763578274771,2.5,10.7032
000988,2017-02,0.030585106382978733,0.8,10.45
000988,2017-03,-0.039999999999999925,0.9,10.1178
000988,2017-04,-0.02620967741935487,1.2,9.8426
000988,2017-05,-0.06832298136645965,1.5,9.1289
000988,2017-06,0.08074074074074078,1.5,9.1013
000988,2017-07,0.04112405757368065,1.4,8.89
000988,2017-08,0.047399605003291656,1.8,8.5633
000988,2017-09,0.0609679446888749,1.6,8.976
000988,2017-10,0.06635071090047395,1.9,8.8771
000988,2017-11,-0.06388888888888877,1.7,9.1148
000988,2017-12,-0.016023738872403714,1.8,8.0654
000988,2018-01,-0.08866103739445108,1.5,8.6
000988,2018-02,0.011912640635340921,2.9,8.8
000988,2018-03,0.011118378024852937,2.1,8.2
000988,2018-04,0.06921086675291077,1.8,8.3
000988,2018-05,-0.00483968542044777,1.8,8.3
000988,2018-06,-0.12158054711246202,1.9,8.0
000988,2018-07,0.0117647058823529,2.1,8.5
000988,2018-08,-0.06224350205198348,2.3,8.2
000988,2018-09,0.07221006564551402,2.5,8.3
000988,2018-10,-0.2673469387755102,2.5,8.0
000988,2018-11,0.10399257195914591,2.2,8.0
000988,2018-12,0.00420521446593769,1.9,8.1
000988,2019-01,-0.018425460636515845,1.7,8.4
000988,2019-02,0.25426621160409546,1.5,8.0
000988,2019-03,0.05034013605442178,2.3,8.6
000988,2019-04,-0.036917098445595875,2.5,8.5
000988,2019-05,-0.01748486886348355,2.7,8.5
000988,2019-06,0.08281998631074616,2.7,8.5
000988,2019-07,0.04930467762326174,2.8,8.1
000988,2019-08,0.049397590361445864,2.8,8.2
000988,2019-09,0.08955223880596996,3.0,8.4
000988,2019-10,0.05163329820864071,3.8,8.4
000988,2019-11,-0.09068136272545102,4.5,8.2
