date,market_close,mkt_ret
2005-04-11,995.42,-0.00800239174846784
2005-04-12,978.7,-0.016796929939121075
2005-04-13,1000.9,0.022683151118831013
2005-04-14,986.98,-0.013907483265061416
2005-04-15,974.08,-0.013070173661067108
2005-04-18,963.77,-0.010584346254927768
2005-04-19,965.89,0.002199694947964792
2005-04-20,950.87,-0.01555042499663517
2005-04-21,943.98,-0.007245995772292679
2005-04-22,939.1,-0.005169601050869721
2005-04-25,930.07,-0.009615589394100676
2005-04-26,937.08,0.007537067102476147
2005-04-27,926.6,-0.011183676953942068
2005-04-28,942.07,0.016695445715519064
2005-04-29,932.4,-0.01026463001687783
2005-05-09,909.17,-0.024914199914199964
2005-05-10,913.08,0.0043006258455515756
2005-05-11,901.85,-0.012299031848249875
2005-05-12,885.82,-0.017774574485779238
2005-05-13,887.54,0.0019417037321352026
2005-05-16,875.27,-0.013824729026297389
2005-05-17,881.46,0.007072103465216584
2005-05-18,883.2,0.001973997685657869
2005-05-19,884.17,0.001098278985507184
2005-05-20,882.76,-0.001594715948290415
2005-05-23,863.34,-0.02199918437627435
2005-05-24,868.46,0.005930456135473827
2005-05-25,868.45,-1.1514635101184112e-05
2005-05-26,857.33,-0.012804421670792765
2005-05-27,849.51,-0.00912134184036495
2005-05-30,855.61,0.0071806099987050676
2005-05-31,855.95,0.0003973773097556421
2005-06-01,837.53,-0.02151994859512829
2005-06-02,818.38,-0.02286485260229487
2005-06-03,818.03,-0.00042767418558620207
2005-06-06,839.0,0.025634756671515824
2005-06-07,837.28,-0.002050059594755682
2005-06-08,905.77,0.08180059239442006
2005-06-09,912.6,0.007540545613124783
2005-06-10,894.56,-0.019767696690773717
2005-06-13,892.96,-0.0017885888034340214
2005-06-14,883.54,-0.010549184733918748
2005-06-15,866.83,-0.01891255630758082
2005-06-16,879.24,0.014316532653461334
2005-06-17,880.35,0.00126245393749147
2005-06-20,906.26,0.029431476117453226
2005-06-21,896.17,-0.011133670249155903
2005-06-22,900.65,0.0049990515192430696
2005-06-23,893.57,-0.007860989285515929
2005-06-24,898.3,0.0052933737703815265
2005-06-27,916.04,0.01974841367026614
2005-06-28,903.72,-0.013449194358324923
2005-06-29,898.9,-0.00533351037932106
2005-06-30,878.69,-0.022483034820335868
2005-07-01,859.49,-0.021850709579032457
2005-07-04,855.93,-0.0041419911808165955
2005-07-05,849.68,-0.007301998995244974
2005-07-06,842.56,-0.008379625270690139
2005-07-07,844.73,0.002575484238511283
2005-07-08,829.49,-0.01804126762397451
2005-07-11,824.1,-0.0064979686313276774
2005-07-12,851.82,0.033636694575901016
2005-07-13,846.23,-0.0065624192904604195
2005-07-14,849.59,0.003970551741252493
2005-07-15,841.0,-0.010110759307430661
2005-07-18,833.0,-0.009512485136741966
2005-07-19,835.61,0.0031332533013206376
2005-07-20,842.64,0.008413015641268062
2005-07-21,843.99,0.0016021076616348218
2005-07-22,859.69,0.018602116138816793
2005-07-25,856.86,-0.0032918842838698392
2005-07-26,876.48,0.022897556193543833
2005-07-27,894.01,0.02000045637093817
2005-07-28,890.89,-0.0034898938490620646
2005-07-29,888.16,-0.003064351378958108
2005-08-01,891.61,0.0038844352368943014
2005-08-02,903.6,0.013447583584751177
2005-08-03,909.57,0.006606905710491384
2005-08-04,904.15,-0.005958859680948225
2005-08-05,923.8,0.02173311950450696
2005-08-08,927.47,0.003972721368261656
2005-08-09,933.09,0.0060594951858281565
2005-08-10,940.37,0.007802034101747957
2005-08-11,953.99,0.014483660686750888
2005-08-12,938.32,-0.016425748697575404
2005-08-15,954.5,0.01724358427828454
2005-08-16,945.06,-0.009889994761655418
2005-08-17,953.01,0.00841216430702807
2005-08-18,920.67,-0.033934586205811135
2005-08-19,923.04,0.0025742122584639926
2005-08-22,931.67,0.009349540648292631
2005-08-23,923.41,-0.008865800122360934
2005-08-24,930.65,0.007840504218061373
2005-08-25,930.12,-0.0005694944393702661
2005-08-26,928.26,-0.001999741968778279
2005-08-29,917.37,-0.01173162691487295
2005-08-30,914.88,-0.0027142810425455632
2005-08-31,927.92,0.01425323539699197
2005-09-01,944.56,0.017932580394861564
2005-09-02,947.87,0.0035042771237401293
2005-09-05,952.72,0.0051167354173040636
2005-09-06,936.61,-0.016909480225039908
2005-09-07,952.76,0.01724303605556199
2005-09-08,955.28,0.0026449473109702026
2005-09-09,949.07,-0.006500711833179684
2005-09-12,949.51,0.0004636117462357703
2005-09-13,963.77,0.01501827258270061
2005-09-14,970.19,0.006661340361289625
2005-09-15,969.6,-0.0006081283047650876
2005-09-16,967.5,-0.0021658415841584455
2005-09-19,971.14,0.0037622739018088325
2005-09-20,961.92,-0.009493996746092304
2005-09-21,944.41,-0.01820317697937457
2005-09-22,923.27,-0.02238434578202264
2005-09-23,916.15,-0.007711720298504199
2005-09-26,918.49,0.002554166894067622
2005-09-27,904.21,-0.015547256910799168
2005-09-28,903.72,-0.0005419095121708128
2005-09-29,915.98,0.013566148807152567
2005-09-30,917.39,0.0015393349199763762
2005-10-10,907.32,-0.01097679285799924
2005-10-11,919.72,0.013666622580787324
2005-10-12,923.49,0.004099073631105066
2005-10-13,916.5,-0.007569112822012114
2005-10-14,904.83,-0.012733224222585826
2005-10-17,897.62,-0.007968347645414098
2005-10-18,902.37,0.0052917715737170745
2005-10-19,898.74,-0.0040227401176901045
2005-10-20,899.92,0.001312949240047212
2005-10-21,904.41,0.004989332385100909
2005-10-24,906.65,0.002476752800168125
2005-10-25,894.27,-0.013654662769536197
2005-10-26,875.82,-0.020631352947096393
2005-10-27,875.85,3.4253613756307644e-05
2005-10-28,867.73,-0.009270993891648094
2005-10-31,876.28,0.009853295379899318
2005-11-01,872.87,-0.003891450221390369
2005-11-02,882.48,0.011009657795548078
2005-11-03,874.58,-0.008952044238962897
2005-11-04,878.36,0.004322074595805914
2005-11-07,877.28,-0.0012295641878046215
2005-11-08,881.52,0.004833120554440962
2005-11-09,879.25,-0.002575097558762063
2005-11-10,862.97,-0.018515780494739786
2005-11-11,864.79,0.0021089956777176067
2005-11-14,862.15,-0.0030527642549057488
2005-11-15,856.64,-0.006390999246070894
2005-11-16,863.12,0.007564437803511348
2005-11-17,862.66,-0.0005329502270832176
2005-11-18,882.24,0.02269723877309726
2005-11-21,883.87,0.0018475698222706338
2005-11-22,869.62,-0.016122280425854507
2005-11-23,876.23,0.0076010211356685176
2005-11-24,881.49,0.006002990082512483
2005-11-25,884.11,0.0029722401842335877
2005-11-28,880.17,-0.004456459037902594
2005-11-29,871.31,-0.010066237204176431
2005-11-30,873.83,0.0028921968071067283
2005-12-01,873.07,-0.0008697343876955532
2005-12-02,869.94,-0.0035850504541445893
2005-12-05,859.61,-0.011874382141297102
2005-12-06,866.08,0.00752666907085775
2005-12-07,873.84,0.008959911324588843
2005-12-08,874.06,0.0002517623363544885
2005-12-09,887.36,0.015216346703887718
2005-12-12,888.52,0.001307248467363742
2005-12-13,889.1,0.0006527708999235493
2005-12-14,898.15,0.010178832527274695
2005-12-15,896.43,-0.0019150475978400028
2005-12-16,902.56,0.0068382361143648485
2005-12-19,902.91,0.00038778585357213124
2005-12-20,907.32,0.00488420772834508
2005-12-21,903.14,-0.004606974386104246
2005-12-22,908.75,0.00621166153641739
2005-12-23,915.89,0.007856946354882988
2005-12-26,922.38,0.007086003777746264
2005-12-27,919.36,-0.0032741386413408513
2005-12-28,920.92,0.0016968325791855143
2005-12-29,932.03,0.012064022933588214
2005-12-30,923.45,-0.009205712262480792
2006-01-04,941.43,0.019470464020791445
2006-01-05,959.13,0.01880118543067466
2006-01-06,970.03,0.01136446571371974
2006-01-09,975.25,0.005381276867725715
2006-01-10,978.15,0.002973596513714316
2006-01-11,973.48,-0.0047743188672493275
2006-01-12,983.72,0.010518962896002071
2006-01-13,978.81,-0.004991257674948235
2006-01-16,961.44,-0.01774603855702317
2006-01-17,964.29,0.0029643035446829114
2006-01-18,983.62,0.020045836833317843
2006-01-19,991.22,0.007726561070332094
2006-01-20,993.34,0.0021387784750106498
2006-01-23,996.16,0.0028389071214287576
2006-01-24,999.09,0.00294129457115333
2006-01-25,1009.6,0.010519572811258149
2006-02-06,1033.23,0.02340530903328042
2006-02-07,1029.94,-0.003184189386680525
2006-02-08,1033.07,0.003039011981280426
2006-02-09,1019.6,-0.013038806663633551
2006-02-10,1032.34,0.012495096116123872
2006-02-13,1031.61,-0.0007071313714474003
2006-02-14,1038.53,0.00670796134198004
2006-02-15,1041.66,0.0030138753815489583
2006-02-16,1020.12,-0.02067853234260708
2006-02-17,1020.37,0.0002450692075441907
2006-02-20,1021.64,0.0012446465497808479
2006-02-21,1038.82,0.016816099604557433
2006-02-22,1037.89,-0.000895246529716287
2006-02-23,1041.37,0.0033529564790100164
2006-02-24,1049.44,0.0077494070311225904
2006-02-27,1047.85,-0.0015150937642934847
2006-02-28,1053.01,0.004924368945937063
2006-03-01,1056.62,0.0034282675378201066
2006-03-02,1038.67,-0.01698813196797322
2006-03-03,1041.68,0.0028979367845418658
2006-03-06,1038.87,-0.0026975654711621777
2006-03-07,1014.97,-0.023005765880235174
2006-03-08,1009.27,-0.005615929534863118
2006-03-09,1004.34,-0.004884718658039966
2006-03-10,1008.9,0.004540295119182636
2006-03-13,1019.86,0.010863316483298746
2006-03-14,1018.27,-0.00155903751495301
2006-03-15,1028.96,0.010498197923929808
2006-03-16,1027.62,-0.0013022858031411788
2006-03-17,1024.02,-0.0035032404974600917
2006-03-20,1037.66,0.013320052342727706
2006-03-21,1040.76,0.0029874910857119463
2006-03-22,1047.67,0.006639378915408001
2006-03-23,1048.54,0.0008304141571295887
2006-03-24,1042.6,-0.0056650199324775885
2006-03-27,1050.71,0.007778630347208937
2006-03-28,1055.98,0.005015656080174402
