ticker,alpha,beta_cpi,beta_m2,alpha_t,beta_cpi_t,beta_m2_t,alpha_p,beta_cpi_p,beta_m2_p,r_squared,observations
000568,0.01842996083099462,-0.009789137164813399,0.0008226542229350297,0.7966566675369803,-2.2631723207975774,0.4954891019574014,0.4265211873233959,0.024614467018796236,0.6207563080862832,0.023299139466828156,220
000988,0.022177454197242735,-0.013316546142541548,0.00197991651121362,0.8369233761168948,-2.6877695634693755,1.0410962378320094,0.40355636725052946,0.0077508750867112996,0.29898941894797554,0.03453285365725156,220
002179,0.016467057963663503,-0.01112706977426228,0.0011694627455856796,0.6224798890901181,-2.2496582475598625,0.6159786995047842,0.534279918048807,0.025474248579659457,0.5385541510312318,0.023349856437671845,220
300510,-0.07221073740227135,-0.01120711614528019,0.008562461626868247,-0.7541006139726392,-0.8851213704073622,0.8352714337264212,0.4524607593192762,0.37809460822751023,0.4054436171017304,0.011995917939416012,109
600048,0.025613904505784338,-0.010841620534818876,-0.00048311465570823335,1.0856774906539328,-2.4577951123869517,-0.2853285651284291,0.2788263004375278,0.01476307778768457,0.7756645817949233,0.02852555292734149,220
600519,0.024009050498122818,-0.005721224661825005,3.250481694282766e-06,1.373901059876385,-1.7510393328451341,0.00259178033544295,0.17088991556740354,0.08135211686160916,0.9979344418493609,0.014116756001904984,220
601166,0.011722512889975322,-0.015054761188823868,0.0016363025501796977,0.5812216044217643,-3.992283067673032,1.130458515386592,0.5616943164382229,8.95584558370219e-05,0.2595309774899272,0.07021608156384629,220
601288,0.01187018877382634,-0.00691068901852976,0.0006954580140750088,0.7815261482019793,-2.36406428822865,0.4533804694662519,0.43548675610685983,0.019106575781017078,0.6508032822694227,0.033804296278692525,189
603319,-0.14212662742019352,0.004567369137050057,0.018288490963908957,-0.8049268639962381,0.2005013373887708,0.9609907868267783,0.42259827367629005,0.8414587481403176,0.33866446037654524,0.009205015420164053,113
603685,-0.051809768959172255,-0.009607119014830178,0.007373664144736204,-0.9115535937657532,-1.3210464667552089,1.1994223861621267,0.36424059889728555,0.18956217230264008,0.23325564466573423,0.02840246382955447,101
