ticker,mean_ret,std_ret,min_ret,max_ret,median_ret,sharpe_ratio,annualized_volatility
000568,0.0007201605607371422,0.028993521011161937,-0.4106785659332205,0.26622296173044946,0.0,0.024838672076423367,0.46025787736596274
000988,0.0007104808998920103,0.03224412301450549,-0.5272020725388601,0.10088495575221224,0.000968719382067551,0.0220344308813234,0.511859584438535
002179,0.000469384174969931,0.03068694432352402,-0.3629417382999044,0.10053475935828882,0.00026943056157346934,0.015295891634609905,0.4871401390591787
300510,0.00011839861018523692,0.0388768685060894,-0.44993894993895,0.20069204152249132,0.0,0.00304547703389978,0.6171511549204304
600048,0.0002589125763328015,0.03113315595579629,-0.5252822778595974,0.10037878787878785,0.0,0.008316297156009905,0.4942235291257584
600519,0.0008621182153429366,0.021788012554267083,-0.5668964008314188,0.10006635700066369,-0.00011039355301645237,0.03956846514548637,0.3458739766856634
601166,0.00023808055453999975,0.023410351821728154,-0.46194879089615926,0.10052910052910069,-0.0004854989667162912,0.010169883663133459,0.37162781414892354
601288,0.0003109663452024065,0.012960106817353963,-0.09898477157360408,0.10121457489878538,0.0,0.023994118998001888,0.20573531762130834
603319,0.0008797816898155807,0.033022032459500215,-0.2927500764759865,0.10027700831024933,0.0,0.026642263491642636,0.524208514042441
603685,0.00039175877505056574,0.026586015691364047,-0.23657142857142865,0.10036496350364965,0.0006468308010284529,0.014735520342667254,0.42203991522846124
