ticker,alpha,beta,alpha_t,beta_t,alpha_p,beta_p,r_squared,observations
000568,0.0005670565886301046,1.0311645123288917,1.7900083713537727,51.27128594476429,0.07351279013279167,0.0,0.34359331595254083,5024
000988,0.0006572477735297635,1.1865568372403483,1.7362086821756466,49.5089007351848,0.08258786983875152,0.0,0.32655054510953274,5057
002179,0.0004214186528930156,1.0207700923773735,1.0738795673495278,40.34372156737798,0.28293442140221364,6.556750641731034e-304,0.2662280235691542,4488
300510,-0.00020460593987494167,1.0821413161022384,-0.258328718653862,15.646992801411354,0.7961777786055358,2.3023760385326867e-52,0.10159577560819,2167
600048,-0.00017051557547502757,1.1272140607839094,-0.46369639251685607,48.85074782728937,0.6428863781811363,0.0,0.332812261502626,4786
600519,0.0006557632903948041,0.6956090195834824,2.3931567466133035,40.1845762178485,0.016740338768540943,1.0897986481279798e-306,0.24196112045445928,5061
601166,-5.417706779448931e-05,0.9598526094480426,-0.2083830655940135,58.74652755061713,0.8349389887261838,0.0,0.4255874640904057,4660
601288,0.0001911469836689387,0.4606323776391526,1.0413896808360905,33.8387236541496,0.2977602727379458,6.4702256423651666e-220,0.22965214979471427,3843
603319,0.0006962448332352512,0.8974890553927078,1.0649441029613076,15.963586618002456,0.2870132038301308,1.754209914830182e-54,0.09990296826173883,2298
603685,0.0002825631540585227,0.6859794218261369,0.5068548169650435,14.88487606889547,0.6123111494143436,1.155424758636831e-47,0.09745050970448144,2054
