date,open,high,low,close,volume,amount,outstanding_share,turnover,ticker
2001-08-27,34.51,37.78,32.85,35.55,40631800.0,1410347179.0,71500000.0,0.5682769230769231,600519
2001-08-28,34.99,37.0,34.61,36.86,12964779.0,463463143.0,71500000.0,0.1813255804195804,600519
2001-08-29,36.98,37.0,36.1,36.38,5325275.0,194689620.0,71500000.0,0.0744793706293706,600519
2001-08-30,36.28,37.51,36.0,37.1,4801306.0,177558558.0,71500000.0,0.0671511328671328,600519
2001-08-31,37.15,37.62,36.8,37.01,2323148.0,86231237.0,71500000.0,0.0324915804195804,600519
2001-09-03,37.2,37.57,36.85,36.99,2211209.0,82129438.0,71500000.0,0.030926,600519
2001-09-04,37.01,38.08,36.88,37.46,3700677.0,139204380.0,71500000.0,0.0517577202797202,600519
2001-09-05,37.61,37.92,37.21,37.44,2606695.0,97796243.0,71500000.0,0.0364572727272727,600519
2001-09-06,37.35,37.47,36.51,36.7,2899703.0,107078403.0,71500000.0,0.0405552867132867,600519
2001-09-07,36.5,36.95,35.65,35.68,3155225.0,113868743.0,71500000.0,0.0441290209790209,600519
2001-09-10,35.4,36.85,35.01,36.7,1887889.0,68406471.0,71500000.0,0.0264040419580419,600519
2001-09-11,36.8,36.95,36.2,36.29,1139081.0,41579698.0,71500000.0,0.0159312027972028,600519
2001-09-12,35.33,36.2,35.3,35.98,2504519.0,89421380.0,71500000.0,0.0350282377622377,600519
2001-09-13,36.01,36.3,35.7,35.89,1098668.0,39512775.0,71500000.0,0.015365986013986,600519
2001-09-14,36.01,36.5,35.8,36.3,767283.0,27740691.0,71500000.0,0.0107312307692307,600519
2001-09-17,36.08,36.29,35.5,35.84,898397.0,32183249.0,71500000.0,0.012564993006993,600519
2001-09-18,35.88,36.55,35.85,36.25,1077326.0,39006062.0,71500000.0,0.0150674965034965,600519
2001-09-19,36.3,36.92,36.06,36.92,865053.0,31597369.0,71500000.0,0.0120986433566433,600519
2001-09-20,36.9,37.05,36.5,36.61,1117335.0,41189577.0,71500000.0,0.0156270629370629,600519
2001-09-21,36.28,36.6,36.0,36.06,787972.0,28638681.0,71500000.0,0.0110205874125874,600519
2001-09-24,36.06,36.39,36.0,36.05,406860.0,14703096.0,71500000.0,0.0056903496503496,600519
2001-09-25,36.28,36.54,36.05,36.23,348845.0,12639790.0,71500000.0,0.004878951048951,600519
2001-09-26,36.11,36.48,36.0,36.08,495626.0,17892565.0,71500000.0,0.0069318321678321,600519
2001-09-27,36.08,36.98,36.0,36.7,877804.0,32085131.0,71500000.0,0.012276979020979,600519
2001-09-28,36.9,37.2,36.5,37.09,1708847.0,63169143.0,71500000.0,0.023899958041958,600519
2001-10-08,37.0,37.18,36.25,36.58,655217.0,24091149.0,71500000.0,0.0091638741258741,600519
2001-10-09,36.6,37.5,36.6,37.3,955852.0,35498605.0,71500000.0,0.0133685594405594,600519
2001-10-10,37.3,37.43,36.03,36.1,1754869.0,63956753.0,71500000.0,0.0245436223776223,600519
2001-10-11,36.01,36.5,35.65,35.75,1230684.0,44319896.0,71500000.0,0.0172123636363636,600519
2001-10-12,35.9,36.65,34.05,36.0,2001070.0,70897331.0,71500000.0,0.027986993006993,600519
2001-10-15,35.9,36.0,34.9,35.3,975531.0,34501714.0,71500000.0,0.0136437902097902,600519
2001-10-16,35.13,35.8,34.75,34.8,831991.0,29068173.0,71500000.0,0.0116362377622377,600519
2001-10-17,34.79,34.81,33.9,34.2,1250768.0,42766283.0,71500000.0,0.0174932587412587,600519
2001-10-18,34.2,34.66,33.91,34.04,498346.0,16999063.0,71500000.0,0.0069698741258741,600519
2001-10-19,34.0,34.15,33.01,33.5,1568754.0,52422843.0,71500000.0,0.0219406153846153,600519
2001-10-22,33.3,33.7,32.7,32.79,976065.0,32268911.0,71500000.0,0.0136512587412587,600519
2001-10-23,36.0,36.07,35.01,36.07,4059824.0,145710538.0,71500000.0,0.0567807552447552,600519
2001-10-24,36.78,36.8,35.11,35.86,4068239.0,147001102.0,71500000.0,0.0568984475524475,600519
2001-10-25,35.7,35.8,34.86,34.88,1603686.0,56527283.0,71500000.0,0.0224291748251748,600519
2001-10-26,34.7,35.1,34.42,35.0,900220.0,31280145.0,71500000.0,0.0125904895104895,600519
2001-10-29,34.88,35.63,34.88,35.3,458786.0,16205054.0,71500000.0,0.0064165874125874,600519
2001-10-30,35.25,35.49,34.92,35.0,348417.0,12214728.0,71500000.0,0.004872965034965,600519
2001-10-31,35.0,35.09,34.8,35.05,476247.0,16633345.0,71500000.0,0.0066607972027972,600519
2001-11-01,35.05,35.64,34.95,35.57,664303.0,23511580.0,71500000.0,0.009290951048951,600519
2001-11-02,35.28,35.72,35.16,35.36,343520.0,12189356.0,71500000.0,0.0048044755244755,600519
2001-11-05,35.0,35.26,34.7,34.9,369076.0,12879737.0,71500000.0,0.005161902097902,600519
2001-11-06,34.8,35.3,34.72,35.15,260931.0,9138666.0,71500000.0,0.0036493846153846,600519
2001-11-07,35.0,35.0,33.8,33.85,932538.0,31791131.0,71500000.0,0.0130424895104895,600519
2001-11-08,33.35,33.89,32.98,33.7,740216.0,24682905.0,71500000.0,0.0103526713286713,600519
2001-11-09,33.7,34.48,33.34,34.15,376076.0,12737203.0,71500000.0,0.0052598041958041,600519
2001-11-12,34.4,34.4,33.52,33.6,268333.0,9088858.0,71500000.0,0.003752909090909,600519
