date,open,high,low,close,volume,amount,outstanding_share,turnover,ticker
2016-05-06,16.24,17.71,16.24,17.71,6400.0,112609.0,21800000.0,0.0002935779816513,300510
2016-05-09,19.48,19.48,19.48,19.48,9577.0,186560.0,21800000.0,0.0004393119266055,300510
2016-05-10,21.43,21.43,21.43,21.43,4500.0,96435.0,21800000.0,0.0002064220183486,300510
2016-05-11,23.57,23.57,23.57,23.57,5500.0,129635.0,21800000.0,0.0002522935779816,300510
2016-05-12,25.93,25.93,25.93,25.93,16982.0,440343.0,21800000.0,0.000778990825688,300510
2016-05-13,28.52,28.52,28.52,28.52,7500.0,213900.0,21800000.0,0.0003440366972477,300510
2016-05-16,31.37,31.37,31.37,31.37,10402.0,326311.0,21800000.0,0.0004771559633027,300510
2016-05-17,34.51,34.51,34.51,34.51,25438.0,877865.0,21800000.0,0.0011668807339449,300510
2016-05-18,37.96,37.96,37.96,37.96,70049.0,2659060.0,21800000.0,0.0032132568807339,300510
2016-05-19,41.76,41.76,41.76,41.76,306969.0,12819025.0,21800000.0,0.0140811467889908,300510
2016-05-20,42.02,45.9,39.69,44.04,13676715.0,571766646.0,21800000.0,0.627372247706422,300510
2016-05-23,43.0,48.44,42.72,48.44,5903015.0,273575241.0,21800000.0,0.2707805045871559,300510
2016-05-24,53.18,53.18,48.5,50.02,13497881.0,687516082.0,21800000.0,0.6191688532110092,300510
2016-05-25,50.0,53.4,48.96,51.06,12123542.0,618648812.0,21800000.0,0.5561257798165138,300510
2016-05-26,49.34,51.88,48.5,51.05,8983797.0,448561735.0,21800000.0,0.4121007798165138,300510
2016-05-27,51.16,52.33,49.01,49.1,8279431.0,419749470.0,21800000.0,0.3797904128440367,300510
2016-05-30,47.0,51.6,46.72,50.17,6746945.0,334629081.0,21800000.0,0.3094928899082569,300510
2016-05-31,50.91,55.19,50.9,54.4,9884270.0,525924091.0,21800000.0,0.453406880733945,300510
2016-06-01,52.7,55.55,52.7,54.56,9859355.0,535102436.0,21800000.0,0.4522639908256881,300510
2016-06-02,53.98,56.75,53.0,55.91,8003760.0,437306687.0,21800000.0,0.3671449541284404,300510
2016-06-03,55.52,61.5,55.06,59.18,11496747.0,678542753.0,21800000.0,0.5273737155963303,300510
2016-06-06,58.85,60.14,56.33,58.22,7592262.0,443242819.0,21800000.0,0.3482688990825688,300510
2016-06-07,58.2,61.88,57.52,60.89,7349908.0,439513757.0,21800000.0,0.337151743119266,300510
2016-06-08,59.41,59.85,57.45,57.8,5899681.0,346207134.0,21800000.0,0.2706275688073394,300510
2016-06-13,55.4,56.49,52.02,52.02,5242532.0,282937907.0,21800000.0,0.240483119266055,300510
2016-06-14,50.21,53.32,50.21,52.93,3872564.0,201822394.0,21800000.0,0.1776405504587156,300510
2016-06-15,51.78,57.29,51.65,55.68,4856314.0,268879219.0,21800000.0,0.2227666972477064,300510
2016-06-16,55.68,57.96,55.05,56.6,4844228.0,275292448.0,21800000.0,0.2222122935779816,300510
2016-06-17,57.48,59.88,57.2,59.45,5957631.0,348384068.0,21800000.0,0.2732858256880734,300510
2016-06-20,59.45,63.5,57.66,60.52,7209307.0,438691521.0,21800000.0,0.3307021559633027,300510
2016-06-21,60.6,63.8,59.6,61.2,6844336.0,420397563.0,21800000.0,0.3139603669724771,300510
2016-06-22,60.0,63.17,59.5,61.0,5937448.0,364033840.0,21800000.0,0.27236,300510
2016-06-23,61.0,62.45,58.98,62.2,5270843.0,321864746.0,21800000.0,0.2417817889908257,300510
2016-06-24,61.86,62.87,57.01,60.36,4810361.0,292389801.0,21800000.0,0.2206587614678899,300510
2016-06-27,59.13,66.37,59.13,65.39,6060452.0,385025476.0,21800000.0,0.2780023853211009,300510
2016-06-28,64.15,68.5,63.98,67.52,6147899.0,407574868.0,21800000.0,0.2820137155963302,300510
2016-06-29,68.03,74.27,66.01,74.27,7109979.0,498081198.0,21800000.0,0.3261458256880734,300510
2016-06-30,70.01,72.39,67.0,67.56,7737737.0,539174355.0,21800000.0,0.3549420642201835,300510
2016-07-01,68.8,73.63,68.01,71.6,6748494.0,476443474.0,21800000.0,0.3095639449541284,300510
2016-07-04,70.19,78.5,70.0,78.19,6500539.0,483094035.0,21800000.0,0.2981898623853211,300510
2016-07-05,77.19,85.26,77.06,81.85,6851009.0,560005397.0,21800000.0,0.3142664678899082,300510
2016-07-06,80.51,82.88,76.01,79.0,6271888.0,497430406.0,21800000.0,0.2877012844036697,300510
2016-07-07,78.41,85.48,78.36,83.39,6156111.0,506468266.0,21800000.0,0.2823904128440367,300510
2016-07-08,83.5,84.48,79.61,79.66,4678958.0,379620338.0,21800000.0,0.2146311009174312,300510
2016-07-11,78.0,79.98,71.69,71.69,5218305.0,386169016.0,21800000.0,0.2393717889908257,300510
2016-07-12,70.63,75.71,67.63,75.52,6052080.0,434913922.0,21800000.0,0.2776183486238532,300510
2016-07-13,75.0,79.97,74.27,77.51,5267234.0,410539854.0,21800000.0,0.2416162385321101,300510
2016-07-14,76.98,79.88,75.1,79.06,3802543.0,296916066.0,21800000.0,0.1744285779816513,300510
2016-07-15,82.0,86.97,81.0,86.97,5490489.0,470006991.0,21800000.0,0.2518572935779816,300510
2016-07-18,87.0,87.99,81.0,82.94,6210684.0,522948620.0,21800000.0,0.2848937614678899,300510
2016-07-19,81.5,84.55,80.07,84.29,4300432.0,354702941.0,21800000.0,0.1972675229357798,300510
2016-07-20,84.03,85.3,80.76,80.85,4894129.0,405089447.0,21800000.0,0.2245013302752293,300510
2016-07-21,79.81,80.48,76.81,76.91,4002687.0,312387088.0,21800000.0,0.183609495412844,300510
2016-07-22,77.87,79.45,73.11,77.82,4376421.0,336248476.0,21800000.0,0.2007532568807339,300510
2016-07-25,76.65,77.8,73.36,75.9,3109871.0,235142519.0,21800000.0,0.1426546330275229,300510
2016-07-26,75.9,78.97,75.31,77.0,3020537.0,233525559.0,21800000.0,0.138556743119266,300510
2016-07-27,76.98,77.28,69.3,69.3,4888538.0,352392584.0,21800000.0,0.2242448623853211,300510
2016-07-28,69.0,71.66,65.5,70.11,4168912.0,285537835.0,21800000.0,0.191234495412844,300510
2016-07-29,68.8,71.5,67.14,68.33,3216532.0,222556690.0,21800000.0,0.1475473394495413,300510
2016-08-01,66.27,66.3,61.6,63.89,2982440.0,191586295.0,21800000.0,0.1368091743119266,300510
